stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,0,1,0,1,0,0,1,0,0,3,5,0,0,0,0,0
 24-34,0,0.82,0,0,6.57,0,0,0,0.82,0,0,0,10.67,0,0,0.82,1.64,0.82,0,0,218.35,0,2.46,0,0,0,0.82,0,0,0,0,24.63,0,0,0,0,0
 36-46,0,0.81,0,0,43.51,0,0,0,2.42,0,0,0,2.42,0.81,0,0.81,1.61,0,0.81,0,570.41,0,4.03,0,0,0,0.81,0,0,0,0,57.2,0,0,0,0,0
 48-58,0.57,1.72,0,0,249.61,0,1.72,0.57,12.62,0,0.57,0,1.15,0,0.57,0,10.33,0,0,1.15,829.15,0.57,0.57,0,0,0,2.3,0,0,0.57,0,76.89,0,0,0.57,0,0
 60-70,0,2.94,0,0,891.22,1.96,0,1.96,28.46,0,0,0,0,0,0,0,16.69,0,0.98,0,1377.08,0.98,0,0.98,0,0,1.96,0,0.98,0,0,58.89,0,0.98,1.96,0,1.96
 72-82,0.98,8.83,5.89,0,1122.04,0.98,0,2.94,30.43,0.98,0,3.93,6.87,0,0,0,35.34,1.96,1.96,2.94,1324.26,0,0.98,0.98,0,0.98,1.96,0,0,0,0,33.38,0,0.98,1.96,1.96,1.96
 84-94,0,18.05,3.19,0,715.81,0,1.06,1.06,37.17,0,0,1.06,9.56,1.06,0,0,15.93,1.06,2.12,3.19,609.61,1.06,1.06,0,0,1.06,7.43,0,0,0,0,23.36,1.06,1.06,1.06,0,1.06
 96-106,0,10.93,7.65,0,550.79,0,1.09,2.19,27.32,1.09,0,3.28,2.19,1.09,0,0,21.86,0,1.09,0,554.07,2.19,2.19,1.09,0,1.09,5.46,0,0,0,0,9.84,0,2.19,3.28,2.19,1.09
108-118,0,10.72,1.53,0,362.3,0.77,0.77,0.77,17.62,0,0,0.77,4.6,0.77,1.53,1.53,13.02,0.77,0,2.3,575.24,0,0.77,2.3,0,0,0.77,0,0.77,0,0,8.43,0.77,0,1.53,1.53,0
120,0,11.76,5.88,3.92,321.4,1.96,0,1.96,15.68,0,0,0,0,1.96,1.96,0,11.76,0,0,0,695.72,0,1.96,1.96,0,0,3.92,0,0,0,0,19.6,0,0,0,0,0
