stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,78.86,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,6.29,0,0,37.76,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,2,4,23,6,0,9,0,0,0,6,1,1,0,0,0,1,0,0,0,13,0,0,8,157,9,0,2,4,0,1,23,0,0,16,72,0,0,0,0,0
 24-34,0,0,0,1.64,12.31,0.82,0,21.34,0,2.46,0,8.21,0.82,0,1.64,0,0,0,0.82,1.64,1.64,27.09,0,0,9.85,241.33,0.82,6.57,2.46,0,0,4.1,0,0,0,3.28,73.06,0,0,6.57,0,0.82
 36-46,0,0,0,0,6.45,0,0,38.67,0,1.61,0.81,10.47,0,0,0,0,0,0,0,0,0.81,19.34,0,0,4.83,246.53,1.61,2.42,1.61,0,0,1.61,0,0.81,0,0,53.17,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,0,55.66,0,0,0,13.77,0,0,0,0,0,0.57,1.15,0.57,0.57,26.97,0,1.15,7.46,158.94,1.15,2.3,1.15,0,0,2.87,0,0,0,0,32.71,0,0,1.15,0,1.15
 60-70,0,0,0,0,3.93,0,0,63.8,0.98,1.96,1.96,33.37,0.98,0,0,0,0.98,0.98,0.98,0.98,0,43.19,0,0,4.91,200.23,0,0,0,0,0,6.87,0,0.98,0,0,34.35,0.98,0,1.96,0,1.96
 72-82,0,0,0,0,13.74,0.98,0,94.24,0,2.94,9.82,54.97,0,0,0.98,1.96,0,0.98,3.93,0,0.98,94.24,0,3.93,7.85,222.84,0.98,4.91,3.93,0,0,8.83,0,0,0.98,0,22.58,0,2.94,7.85,2.94,0
 84-94,0,0,0,0,6.37,1.06,0,54.16,0,3.19,2.12,19.12,6.37,0,1.06,2.12,2.12,2.12,3.19,0,1.06,49.92,2.12,1.06,9.56,92.4,2.12,2.12,3.19,0,0,14.87,0,1.06,0,0,7.43,1.06,1.06,9.56,1.06,3.19
 96-106,0,0,0,0,10.93,2.19,0,43.71,0,2.19,1.09,32.79,2.19,0,3.28,0,3.28,1.09,3.28,1.09,0,54.64,0,6.56,2.19,103.82,2.19,3.28,8.74,0,1.09,9.84,0,1.09,1.09,0,4.37,1.09,1.09,6.56,8.74,3.28
108-118,0,0,1.53,0,24.51,0,1.53,40.6,0,9.96,4.6,32.17,6.13,0,0,0,0,7.66,0.77,2.3,0.77,69.7,0.77,2.3,5.36,126.38,1.53,3.06,4.6,0,1.53,13.02,0,0,0.77,0,7.66,0.77,0.77,3.83,1.53,3.83
120,0,0,0,0,43.12,3.92,0,33.32,0,17.64,3.92,33.32,3.92,0,1.96,1.96,1.96,1.96,1.96,1.96,1.96,58.79,1.96,0,3.92,129.35,1.96,1.96,7.84,0,1.96,7.84,0,0,0,0,7.84,0,7.84,7.84,5.88,0
