stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,iridophores,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,3,0,0,0,0,0,0,0,1,2,0,0,0,1,1,3,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,1.64,0,0,2.46,0,0,0.82,0,0,1.64,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,2.42,0,0,7.25,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0.57,0,0.57,0,0.57,0,0.57,0,0.57,0.57,0.57,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,1.96,0,0.98,0.98,0,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,1.96,0,0,0,0,0,0,2.94,0,0,1.96,0,0,0,0,0,0,0,0.98,0
 84-94,0,2.12,0,1.06,1.06,0,0,0,1.06,2.12,1.06,0,3.19,1.06,0,4.25,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0.77,0.77,0,0,0,6.13,0.77,0,0.77,0,0.77,3.06,0,0,0,0.77,0.77,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
