stage,axial,blastomeres,epidermis,gut,immune,ionocyte,mucous,neural,olfactory,periderm,spinal.cord,taste
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,6.13,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,0,0,2.94,0,1.96,0,0.98,0
 72-82,0,0,2.94,0,0,0,0.98,0.98,0.98,0,0,4.91
 84-94,0,0,5.31,0,0,0,0,0,1.06,1.06,2.12,5.31
 96-106,0,0,3.28,0,1.09,0,0,2.19,0,1.09,1.09,10.93
108-118,0,0,3.83,0,0.77,0,0,0,0,0,0.77,7.66
120,0,0,7.84,1.96,1.96,1.96,0,1.96,0,0,0,0
