stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,5.75,0,0,0,0,0,1.64,1.64
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,13.7,0,0.81,0,0,0,0,0
 48-58,0,0,0,5.74,0,0,0,0,0,0,0,0,0,1.15,0,0,0,4.02,0,0,0,0,0,1.72,0
 60-70,0,0,0,7.85,1.96,0,0,0,0,0,0,0,0,5.89,0,0.98,0,8.83,0,1.96,0,0.98,0,0.98,0.98
 72-82,0,0.98,0,2.94,0,0,0.98,0.98,1.96,0,1.96,0,0,7.85,0.98,0,0,8.83,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,2.12,0,0,0,0,0,0,0,1.06,0,0,0,6.37,0,1.06,0,0,0,0,1.06
 96-106,0,1.09,0,3.28,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,5.46,0,0,0,0,0,0,1.09
108-118,0.77,0,0,6.89,0,0,0,0,1.53,0,0.77,0.77,1.53,1.53,0,0,0,6.13,0.77,0,0,0,0,0,0
120,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0
