stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,36.78,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,21,2,0,0,0,0,0,2,1,0,0,16,0,0,0,0,0,0,0,0,8,0,1,3,0,54,1,1,1,0,0,0,1,0,0
 24-34,0,0,0.82,1.64,12.31,0,0,0.82,1.64,0,0,2.46,0.82,0,0,36.94,0,3.28,4.1,0,0.82,7.39,0,3.28,38.58,0,7.39,4.93,0,281.55,0,0,4.93,8.21,0,0,0,0,0.82
 36-46,0,0,0,0.81,3.22,0.81,0,2.42,2.42,0,0,0.81,0.81,0,0,11.28,0,1.61,0.81,1.61,0.81,5.64,0,0.81,24.98,0.81,4.03,1.61,0,305.35,0.81,0,4.03,0.81,0,0,0.81,0,0.81
 48-58,0,0,0,0,10.33,0,0,10.9,2.87,0,2.87,6.31,1.15,0,0,2.3,0,3.44,1.15,0.57,5.16,6.89,0,0,21.23,0,5.74,2.3,0,267.39,0,0,0.57,5.74,0,0,0,0,0.57
 60-70,0,0,0.98,0,24.54,0,0,8.83,10.8,0,2.94,6.87,3.93,0,0,12.76,0,5.89,0.98,0,2.94,5.89,0,0,9.82,0,4.91,5.89,0,252.25,0,0,2.94,0.98,1.96,0,0,0,1.96
 72-82,0,0,2.94,0.98,51.05,1.96,0,7.85,3.93,0,9.82,19.63,1.96,0,0.98,20.61,0,8.83,3.93,0,3.93,9.82,0.98,0.98,14.72,0,5.89,5.89,0,243.45,0,0,1.96,0,13.74,0,0.98,0.98,0.98
 84-94,0,0,3.19,1.06,96.65,2.12,0,6.37,15.93,0,1.06,29.74,3.19,0,0,38.23,0,14.87,5.31,0,5.31,11.68,0,0,12.74,2.12,9.56,7.43,0,828.39,0,0,4.25,0,16.99,0,0,1.06,1.06
 96-106,0,0,5.46,0,112.56,2.19,0,14.21,24.04,1.09,10.93,48.09,1.09,1.09,5.46,41.53,1.09,20.76,5.46,0,7.65,15.3,0,1.09,24.04,0,15.3,9.84,0,643.69,0,0,9.84,0,25.14,1.09,0,1.09,0
108-118,0,0,0.77,0.77,75.83,0.77,1.53,1.53,27.57,0,0.77,39.06,0,0,1.53,34.47,0,8.43,7.66,0,3.06,17.62,0,3.06,23.74,0.77,13.02,9.19,0,392.94,0,0,7.66,0,21.45,0,2.3,0,0
120,0,0,0,0,74.47,1.96,0,5.88,13.72,0,3.92,29.4,0,0,0,23.52,0,13.72,1.96,0,0,5.88,0,0,23.52,0,3.92,7.84,0,303.77,0,0,9.8,1.96,9.8,1.96,0,0,0
