stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,2,2,2,1,0,0,2
 24-34,0,0.82,0,0.82,0,0,0,0,0,0.82,0,2.46,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,2.87,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,2.94,0.98,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,2.12,2.12,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,1.09,2.19,1.09,0,2.19,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0.77,5.36,3.06,0.77,0,2.3,0,0,0,0,0.77
120,0,0,0,0,0,0,0,21.56,1.96,0,0,3.92,0,0,0,0,0
