stage,blastomeres,erythrocytes,eye,iridophores,liver,mesenchyme,mural_cell,neural,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,1.64,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,4.37,1.09,1.09,2.19,0,0,0,1.09
108-118,0,0,0,0,1.53,0,0,1.53,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0
