stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,69.23,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,24,0,2,0,0,0,0,12,0,11,3,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,86.19,0,9.85,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0,132.94,0,0,0,0,0,0,0,0.81,0,7.25,0,0,0.81,0,28.2
 48-58,0.57,0,0,0,1.72,0,0,37.87,0,0.57,0,20.66,0,0,0,0,1.15,0,0,0.57,6.31,0,0.57,1.15,190.5,0,1.15,0,0,0,0,0,0,0,15.49,0,0,0.57,0,43.04
 60-70,0,0,0,0,2.94,0,0,173.73,0,0.98,0,88.34,0,0,0,0,6.87,0,0,0,7.85,0,0.98,2.94,384.76,0,0.98,0,0,0,1.96,0,0,0,24.54,0,0,0,0,42.21
 72-82,0,0,0.98,0.98,4.91,8.83,0,374.99,0,0.98,1.96,237.56,4.91,0,0,2.94,1.96,0,2.94,0,54.97,0,6.87,4.91,534.02,0.98,0.98,0,0,0,4.91,0,0,0,29.45,0.98,1.96,5.89,0,81.48
 84-94,0,0,1.06,0,14.87,3.19,0,257.01,2.12,1.06,1.06,177.36,1.06,0,3.19,5.31,9.56,0,0,3.19,36.11,1.06,0,0,289.94,1.06,0,0,0,0,5.31,0,1.06,0,14.87,0,3.19,3.19,0,37.17
 96-106,0,0,1.09,0,19.67,7.65,0,293.98,0,3.28,1.09,310.37,4.37,1.09,2.19,2.19,5.46,2.19,0,2.19,42.62,0,2.19,1.09,291.79,0,0,3.28,0,1.09,14.21,0,2.19,0,8.74,0,1.09,2.19,1.09,45.9
108-118,0,0,0.77,0,6.13,3.06,0,285.7,0,2.3,0,250.47,1.53,0,0,6.13,3.83,0,0.77,0,18.38,1.53,1.53,1.53,390.64,1.53,0.77,0.77,0,0,3.83,0,0,0,9.19,0,0,1.53,0,58.21
120,0,0,0,0,11.76,7.84,1.96,301.81,0,1.96,3.92,243.01,1.96,1.96,5.88,1.96,3.92,0,1.96,0,21.56,1.96,0,7.84,546.78,3.92,1.96,0,0,0,5.88,0,0,0,21.56,0,1.96,0,1.96,7.84
