stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,10,1,0,4,0,0,0,3,1,0,0,0,0,0,0,0,4,0,4,33,2,0,0,0,0,0,7,0,0,9,10,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,9.85,0,0,0,1.64,0,0,0.82,0.82,0,0,0,0,4.93,0,3.28,71.41,0,0,0.82,0.82,0,1.64,0,0,0,0,16.42,0,0.82,0,0.82
 36-46,0,0,0,2.42,0,0,15.31,0,0,0,2.42,0.81,0,0,0.81,0,0,0,0.81,5.64,0,2.42,74.12,0.81,0,0.81,0,0,2.42,0,0,0,0,16.92,0,0,0,0.81
 48-58,0.57,0,0.57,2.3,0,0,26.97,0,1.15,0.57,6.31,0,0.57,0.57,0,0,0.57,0,0,6.89,0,3.44,85.5,0,0.57,0.57,0,0,1.72,0,0,0,0,11.48,0,0,0,0
 60-70,0,0,0,1.96,0,0,36.32,0,0,0,5.89,0,0.98,0,0,0,0,0,0,8.83,0,0,75.58,0,0.98,0,0,0,1.96,0,0,0,0,5.89,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,32.39,0,0,0,11.78,1.96,0,0,0,0,0,0,0,10.8,0.98,0,88.35,0,0,0.98,0,0,1.96,0,0,0,0,8.83,0,0.98,0,0
 84-94,0,0,0,4.25,1.06,0,22.3,0,4.25,2.12,3.19,1.06,0,4.25,0,1.06,0,0,0,13.81,0,0,59.47,1.06,0,2.12,0,1.06,3.19,0,0,0,0,1.06,0,3.19,0,1.06
 96-106,0,0,0,1.09,0,1.09,15.3,0,1.09,0,7.65,0,0,2.19,1.09,1.09,1.09,1.09,0,4.37,1.09,2.19,56.83,0,0,2.19,0,0,5.46,0,0,0,0,2.19,1.09,0,1.09,2.19
108-118,0,0.77,0,2.3,0,3.83,16.09,0.77,1.53,0.77,6.89,1.53,0,1.53,0.77,1.53,0.77,0,1.53,10.72,0.77,3.06,41.36,0,0,0.77,0,0,5.36,0,0.77,0.77,0,1.53,0,0,0,0.77
120,0,0,0,0,0,0,13.72,0,0,0,5.88,0,0,0,1.96,0,0,0,0,5.88,1.96,5.88,54.87,1.96,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0
