stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,9,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0
 24-34,0,2.46,0,2.46,0,0,0.82,0,0,0.82,0.82,0.82,0.82,0,0,7.39,0,0,0,36.12,0,0,0,0,0,4.1,0,0,1.64,7.39,0,0,2.46,0,0
 36-46,0,0.81,0,7.25,0,0,3.22,0,0,0,0,0.81,0.81,0,0,8.06,0.81,0,2.42,15.31,0,0.81,0,0,0,3.22,0.81,0,0,4.83,0,0,0.81,0,0.81
 48-58,0,2.3,0,6.89,0.57,0,2.87,0.57,0,0.57,0,0,1.15,0.57,0.57,8.03,0,0,2.87,7.46,0,0,0,0,0,0.57,0,0,0,2.3,0,0,5.74,0,0
 60-70,0,1.96,0,3.93,0,0.98,1.96,0,0,0.98,0,0.98,3.93,0,0,17.67,0,0,1.96,6.87,0,0,0.98,0,0,2.94,0,0,0,0,0,0,2.94,0,0
 72-82,0,0.98,0,4.91,0,0,0.98,0,0.98,2.94,0,5.89,0.98,0,0.98,13.74,0,0,1.96,12.76,0,0,0,0,0,2.94,0,0,0,1.96,0.98,0,7.85,0,1.96
 84-94,0,2.12,1.06,5.31,0,0,1.06,0,0,7.43,2.12,1.06,0,0,0,19.12,0,3.19,1.06,4.25,0,0,0,0,0,8.5,0,0,0,0,1.06,0,4.25,1.06,1.06
 96-106,0,2.19,0,2.19,0,0,2.19,5.46,0,10.93,1.09,1.09,0,0,0,5.46,0,0,0,5.46,0,0,0,0,2.19,12.02,0,1.09,0,0,0,2.19,10.93,1.09,0
108-118,0,6.89,0.77,0.77,0,0.77,2.3,0.77,0,6.89,0.77,5.36,0.77,0,0.77,10.72,0,0,1.53,6.13,0,0,0.77,0,0.77,2.3,0,0.77,0,0,0.77,0,4.6,0.77,1.53
120,0,3.92,0,0,0,1.96,1.96,3.92,0,3.92,0,0,0,0,0,11.76,0,0,1.96,5.88,0,0,0,0,0,9.8,3.92,0,0,1.96,0,0,17.64,0,0
