stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,1,0,0,0,1,3,0,0,0,1,0
 24-34,0,0,0,0.82,2.46,0,0.82,0,4.1,0,0,0,3.28,0
 36-46,0,0,0,0,14.5,0,0,0,1.61,0.81,0,0,4.03,0
 48-58,0,0,0,1.15,21.8,0,1.72,0,3.44,0,0,0,7.46,0
 60-70,0,0,0,8.83,26.5,0,0,0.98,0.98,0,0,0,12.76,0
 72-82,0,0,0,38.28,57.92,0,1.96,0,4.91,0,0,0,4.91,0
 84-94,0,0,0,55.23,54.16,0,1.06,0,6.37,0,0,0,10.62,0
 96-106,0,1.09,0,55.74,48.09,0,0,0,4.37,0,0,0,13.11,1.09
108-118,0,0,0,51.32,40.6,0,0.77,0,3.83,0.77,0,0.77,2.3,0
120,0,0,1.96,41.16,27.44,1.96,0,0,1.96,3.92,0,0,3.92,0
