stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,44,0,4,0,0,0,1,0,1,0,0,0,0,10,0,0,4,25,0,0,0,0,0,0,1,1,2,22,0,6,0
 24-34,0,120.67,0.82,10.67,0,2.46,0,0.82,0,0,0,0,0,0,20.52,0.82,0,18.06,29.55,0,0.82,0.82,0,0,0,0,0,0,9.85,0,13.13,0
 36-46,0,49.95,0,7.25,0,2.42,0,0.81,0,0,0,0,0,0,33.84,0.81,0,12.09,24.17,0,0,0,0,0,0,0,0,0,7.25,0,4.83,0
 48-58,0,40.17,0,41.89,0,1.72,1.15,1.72,0,0,0,0,0,0,23.53,0.57,0.57,6.89,24.1,0,0.57,0,0,0.57,0,0,0,0,6.31,0,3.44,0
 60-70,0,32.39,0,270.9,0,0.98,0.98,12.76,0.98,0,0,0,0,0,8.83,0,0,0,25.52,0,0,0,0,0,0,0,0,0,0.98,0,3.93,0
 72-82,0,34.36,0.98,574.27,0,1.96,0.98,18.65,0,0,0,0,0,0,19.63,0.98,0.98,2.94,31.41,0,1.96,0.98,0,2.94,0.98,0,0,0,1.96,0,4.91,1.96
 84-94,0,77.53,0,525.71,0,4.25,1.06,8.5,0,0,1.06,0,1.06,0,16.99,0,2.12,0,24.43,1.06,0,2.12,0,1.06,0,0,0,0,2.12,0,12.74,0
 96-106,0,79.78,2.19,605.44,1.09,3.28,0,12.02,0,1.09,0,0,0,0,5.46,0,0,0,12.02,0,2.19,2.19,1.09,1.09,0,0,0,0,1.09,0,7.65,0
108-118,0,72,0.77,362.3,0,3.06,1.53,13.79,0.77,0,1.53,0.77,0,0.77,15.32,0,0.77,0.77,39.06,0.77,0.77,3.83,0,0,0,0,0,0,0.77,0,13.79,0.77
120,0,43.12,3.92,339.04,0,0,0,11.76,0,0,3.92,0,0,0,5.88,0,0,1.96,15.68,0,0,1.96,0,0,0,0,0,0,0,1.96,27.44,0
