stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,3821.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0
  5-6,104.2,1507.89,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,18.39,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,21.03,44.69,0,92,0,0,0,155.09,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,1285.44,5.26,0,0,552.03,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,69.23,0,66.09,0,6.29,0,207.7,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,1491.66,15.73,0,0,531.84,0,0,6.29,3.15,50.35,0,0,0,0,0,0
 14-21,0,0,0,7,63,20,0,62,0,0,21,7,0,0,0,4,1,0,0,0,42,1,0,32,890,16,3,7,23,0,6,2,46,7,46,257,0,2,0,1
 24-34,0,0,0,1.64,19.7,4.93,0,213.42,2.46,1.64,18.06,0.82,0,2.46,0.82,1.64,4.93,0.82,1.64,0,113.28,0,0,38.58,1153.3,1.64,2.46,10.67,0,0,17.24,0,0,0,3.28,182.23,0,10.67,0,1.64
 36-46,0,0,0,0,9.67,0,0,263.45,0,0,20.14,0,0,0,0,0,3.22,0,0,0,89.43,0,0.81,20.95,642.92,0.81,4.83,5.64,0,0,3.22,0,0,0,0,136.96,0,4.83,0,0
 48-58,0,0,0,0.57,10.9,0.57,0,223.78,1.72,1.15,25.25,1.72,0,0,0.57,2.3,6.31,0,0,0.57,77.46,0,2.87,16.64,219.77,0,0,2.3,0,0,1.15,0,0.57,0,0,34.43,0,6.31,0.57,1.15
 60-70,0,0,0,0,7.85,0,0,141.34,0.98,2.94,35.33,0.98,0,0.98,0,0,4.91,0,0,0,60.85,0,2.94,9.82,139.38,0,0.98,1.96,0,0,0,0,0,0,0,20.61,0,6.87,0,0.98
 72-82,0,0,0,0,7.85,0.98,0,62.83,0,3.93,27.49,0,0,0.98,1.96,1.96,2.94,2.94,0.98,1.96,66.75,0,1.96,11.78,112.89,0,0.98,2.94,0,0.98,0.98,0,0,0.98,0,5.89,0,6.87,0,0
 84-94,0,0,0,0,14.87,1.06,0,61.6,0,1.06,24.43,3.19,0,0,1.06,2.12,0,0,1.06,1.06,52.04,1.06,8.5,12.74,86.03,0,1.06,1.06,0,0,3.19,0,0,5.31,0,4.25,0,11.68,0,0
 96-106,0,0,0,0,8.74,2.19,0,30.6,1.09,0,18.58,5.46,0,0,4.37,1.09,3.28,0,0,0,38.25,0,2.19,3.28,63.39,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,8.74,0,1.09
108-118,0,0,0.77,0,6.89,6.89,0.77,45.96,0.77,1.53,19.92,3.83,0,0,6.13,1.53,3.06,0,3.06,0,19.92,0,1.53,6.13,94.98,1.53,2.3,1.53,0,0,1.53,0,0,0.77,0,0.77,1.53,5.36,1.53,0
120,0,0,0,0,13.72,3.92,0,41.16,0,1.96,23.52,0,0,0,5.88,0,0,0,0,0,33.32,0,0,9.8,68.59,1.96,0,1.96,0,1.96,3.92,0,0,0,0,0,1.96,5.88,0,0
