stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,7.89,7.89,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,128.81,5.26,0,0,63.09,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,3.15,0,0,53.5,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,11,2,6,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,7,73,0,2,1,0,0,0,0,7,2,1,12,31,0,0,1,0,0
 24-34,0,0,0.82,4.93,0,11.49,0,0.82,0,0.82,0,0,0.82,0,0.82,0,0,0,0,11.49,0,0,9.03,178.95,0,0,0.82,0,0.82,3.28,0,0,0,0,3.28,29.55,0,0,4.1,0,0.82
 36-46,0,0,0,1.61,0,29.81,0,0,0,6.45,0,0,0,0.81,0,0,0,0,0.81,22.56,0.81,0.81,5.64,236.06,0,2.42,0,0,0,8.06,0,0,0.81,0,0,43.51,0,0,1.61,0,0
 48-58,0,0,0,2.87,0.57,52.22,0,0.57,1.15,8.61,0,0,1.72,0,0,0,0.57,0,1.15,17.79,0,0,2.87,248.46,1.15,1.15,1.15,0,0,2.3,0,0,0,0,0,47.63,0,0,1.15,0,0.57
 60-70,0,0,0,1.96,0,70.67,0,0.98,0.98,8.83,1.96,0,0.98,0.98,0,0.98,0,0,0,32.39,0,0,1.96,239.49,0.98,1.96,0,0,0,4.91,0,0,0,0,0,40.24,0,0.98,0.98,0,0
 72-82,0,0,0,2.94,0.98,61.84,0,0,2.94,20.61,0.98,0,0.98,0,0,0,0.98,0,0,53.99,0.98,0.98,4.91,189.46,0,1.96,0.98,0,0,0.98,0,0,0,0,0,23.56,0,0,6.87,0,0
 84-94,0,0,0,3.19,1.06,35.05,0,0,1.06,2.12,1.06,0,0,0,1.06,0,0,1.06,1.06,40.36,0,0,0,91.34,1.06,0,4.25,0,0,9.56,0,0,2.12,0,0,12.74,0,1.06,1.06,0,0
 96-106,0,0,1.09,5.46,1.09,32.79,0,0,0,9.84,0,0,1.09,2.19,0,2.19,1.09,1.09,0,30.6,2.19,2.19,4.37,69.94,1.09,1.09,3.28,0,1.09,8.74,0,0,0,0,0,5.46,2.19,0,1.09,1.09,1.09
108-118,0,0,0,2.3,0.77,26.04,0,1.53,0.77,4.6,0,0,0,0.77,0,0.77,0.77,0.77,0,26.81,0,0.77,1.53,115.66,0.77,0.77,3.06,0,0,4.6,0,0,0,0,0,3.83,1.53,0,2.3,0.77,0
120,0,0,0,1.96,1.96,25.48,1.96,0,1.96,9.8,1.96,0,0,1.96,0,0,0,0,1.96,15.68,1.96,3.92,1.96,76.43,1.96,3.92,3.92,0,0,3.92,0,0,0,0,0,1.96,0,1.96,0,1.96,0
