stage,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,neural,otic,paraxial.mesoderm,slow.muscle,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,3.15,0,0,0
 24-34,0.82,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,4.03,0
 48-58,0,0,0.57,0,0,5.16,0,0,0,2.87,0
 60-70,0.98,0,0,0,0,34.35,0,0,0,5.89,0
 72-82,17.67,0,0,1.96,0.98,47.12,0,0,0,3.93,0
 84-94,13.81,1.06,0,0,0,25.49,1.06,0,0,4.25,0
 96-106,9.84,0,0,0,0,27.32,2.19,0,0,1.09,0
108-118,22.21,1.53,0,0.77,0.77,28.34,2.3,0,0,1.53,0.77
120,29.4,0,0,0,0,39.2,0,0,1.96,3.92,0
