stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,10.51,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,0.82,17.24,0,0,0.82,0,5.75,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,6.45,0,0,0,0,1.61,0
 48-58,0,0,1.15,1.72,0,1.15,0,0.57,0.57,0.57,6.89,0,0,0,0,0,0
 60-70,0,0,0,5.89,0.98,2.94,0,0,0,0,6.87,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,2.94,0,0,2.94,0,6.87,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,1.06,0,2.12,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,1.09,1.09,0,0,0,3.28,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0.77,0,1.53,0,1.53,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,1.96,5.88,0,0,1.96,0,0,0
