stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,gut,liver,mesenchyme,neural,otic,paraxial.mesoderm,pgc,pronephros,spinal.cord
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0.98,1.96,2.94,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,2.12,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,0,1.09,1.09,0,0,1.09,1.09,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,0,0.77,5.36,3.83,0.77,0,1.53,0,0,0,0
120,0,0,0,0,0,0,9.8,0,1.96,0,0,0,0,1.96,0
