stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,3,0,0,0,1,0,0,0,1,0,2,39,0,0,1,1,5,0,6,5,0,0
 24-34,0,0,0,0,5.75,0,0,0,0.82,0,0.82,0,4.93,0,3.28,41.04,0,0,0,1.64,0,0,0,6.57,1.64,0
 36-46,0,0,0,0,4.03,0.81,0,0.81,0.81,0,0,0,4.03,0,0,34.64,0.81,0,0,0.81,0,0,0,3.22,0,0
 48-58,0,0,1.72,0,5.16,0,0.57,0,2.3,0,0,0,4.59,0,2.3,17.79,0,0,0,0,0,0,0,4.59,0,0
 60-70,0,0,0,0,5.89,0,0,0,3.93,0,0,0,5.89,0,0.98,16.69,0,0,0,1.96,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,7.85,0,0,0,2.94,0.98,0,0.98,5.89,0,1.96,15.71,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,5.31,0,0,0,1.06,0,0,0,4.25,1.06,2.12,11.68,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,0,0,0,4.37,2.19,1.09,7.65,1.09,0,0,0,0,0,0,0,3.28,0
108-118,0,0,0.77,0,2.3,0,0,0,0.77,0,0,0,2.3,0,0.77,10.72,2.3,0,0,0.77,0,0,0,0,0,0.77
120,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,0,9.8,0,1.96,0,5.88,0,0,0,0,0,0
