stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24,3,0,38,0,0,0,2,0,0,0,0,0,1,0,0,59,2,0,0,9,249,1,7,26,2,0,1,3,1,1,8,40,0,0,0,0,48
 24-34,0,0,0,2.46,0,0,21.34,0,0,0.82,0.82,0.82,0,0,1.64,0,4.1,0.82,0,143.65,10.67,0.82,0,2.46,607.43,1.64,50.89,3.28,0,0,5.75,0,0,0,5.75,111.64,0,0,0.82,0,148.57
 36-46,0,0,0,4.83,1.61,0,33.84,0.81,0,0.81,7.25,0,0,0,0,0.81,2.42,1.61,0.81,129.71,11.28,0,0.81,2.42,1242.34,1.61,35.45,0.81,0,0,4.03,0,0.81,0,0,199.81,0,0,4.03,0,104.74
 48-58,0,0,0,11.48,0.57,0,234.11,1.15,1.15,1.72,55.09,0,0,0.57,0.57,0,1.15,0,0,94.1,30.41,0,0.57,5.16,1400.66,1.72,29.84,2.3,0,0,5.16,0,0,0.57,0,206.57,0,0.57,0.57,0,94.68
 60-70,0,0,0,9.82,2.94,0,553.58,0.98,0,2.94,37.3,0.98,0,0.98,0.98,0,2.94,0,0,63.8,29.45,1.96,0,2.94,1282.85,1.96,14.72,1.96,0,0,2.94,0,0,0,0,61.84,0,0.98,4.91,0,90.3
 72-82,0,0,0,12.76,1.96,0,513.41,0.98,1.96,6.87,40.25,0.98,0,0,2.94,0.98,5.89,0,0.98,52.03,46.14,0,2.94,7.85,975.77,0,33.38,2.94,0,0,3.93,0,0,0.98,0,28.47,1.96,4.91,3.93,0.98,68.72
 84-94,0,0,0,36.11,7.43,0,405.7,2.12,1.06,4.25,35.05,2.12,0,0,4.25,1.06,8.5,0,0,98.77,36.11,0,2.12,5.31,601.11,1.06,45.67,1.06,0,0,9.56,0,3.19,1.06,0,19.12,2.12,3.19,4.25,1.06,74.34
 96-106,0,0,1.09,31.69,4.37,0,323.48,1.09,6.56,4.37,49.18,5.46,0,1.09,5.46,3.28,7.65,1.09,4.37,71.04,36.06,1.09,1.09,2.19,457.9,1.09,68.85,0,0,0,12.02,0,0,0,0,2.19,0,3.28,4.37,3.28,84.15
108-118,0,0,0,6.89,5.36,2.3,237.45,0,2.3,0.77,28.34,0,0,0,3.06,0.77,3.83,0,0,89.62,24.51,0,0.77,0,641.88,0,38.3,1.53,0,0.77,8.43,0,0,0.77,0,1.53,0.77,1.53,3.83,1.53,110.3
120,1.96,0,0,9.8,9.8,0,282.21,0,5.88,9.8,41.16,1.96,0,1.96,1.96,3.92,3.92,1.96,3.92,41.16,33.32,1.96,0,3.92,611.45,1.96,29.4,0,0,0,5.88,0,1.96,0,0,1.96,0,0,0,0,41.16
