stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,1,1,0,1
 24-34,0,0.82,0,13.95,0,0,0,0,0,0,0.82,0,1.64,0,5.75,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,1.61,0.81,24.98,0,0,0,0,0,0,0,0.81,0,0,13.7,0,0.81,0,0,0.81,0,0,0.81,0,0.81
 48-58,0,1.15,0,18.94,0,0,1.15,0,0,0,0,0,0.57,0,2.87,0,0,0,0,0,0,0,1.15,0,0.57
 60-70,0,5.89,0,28.46,0,0,3.93,0,0.98,0,0,0,0.98,0,9.82,0,0,0,0,0,0,0,2.94,0,0
 72-82,0,0,4.91,36.32,0,0,5.89,0,1.96,0,2.94,0,0.98,0,13.74,0,0,0,0,0,0,0,1.96,0.98,0
 84-94,0,4.25,3.19,44.61,1.06,1.06,0,0,3.19,0,2.12,0,0,0,8.5,0,0,0,0,0,0,0,3.19,0,1.06
 96-106,0,3.28,3.28,39.34,0,0,2.19,2.19,3.28,0,6.56,0,0,1.09,8.74,0,0,0,0,1.09,0,0,2.19,0,3.28
108-118,0,1.53,0.77,35.23,0,0,5.36,0.77,3.06,0,10.72,0,1.53,0,16.85,0,0,0.77,0,0,0,0,0.77,0,1.53
120,0,1.96,1.96,33.32,0,0,7.84,0,1.96,0,9.8,0,3.92,0,23.52,0,0,0,0,1.96,0,0,0,0,1.96
