stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,5,1,0,0,7,0,2,0,0,0,0
 24-34,0,0,0.82,13.13,0,0,1.64,0.82,0,0,0,0,0,0.82,25.45,8.21,0,2.46,7.39,0,0,79.62,18.06,0,0,20.52,0,3.28,0,0,0,0
 36-46,0,0,0,6.45,0,0,0.81,0,0,0.81,0,0,0.81,0,16.92,7.25,0,0.81,3.22,0,0,74.93,14.5,0,0,33.03,0,3.22,0,0,0,0
 48-58,0,0,0,16.07,0,0,2.3,0.57,0,0.57,0,0.57,0,0,20.08,16.07,0,0.57,3.44,0,0,26.4,9.18,2.3,0,29.26,0,1.72,0,0.57,0.57,0.57
 60-70,0,0,0,27.48,0,0,5.89,2.94,0,0.98,0,0,0,0.98,26.5,24.54,0,0.98,4.91,0,0,6.87,8.83,2.94,0,32.39,0.98,0,1.96,0,0,0
 72-82,0,0,0,77.55,0.98,0.98,8.83,0.98,0,1.96,9.82,0.98,0,1.96,66.75,45.16,0,3.93,9.82,0,0,17.67,14.72,1.96,0,58.9,0,2.94,32.39,0,0,0
 84-94,0,0,0,148.69,0,1.06,9.56,5.31,1.06,1.06,16.99,0,0,1.06,110.45,80.71,2.12,2.12,8.5,0,0,23.36,46.73,1.06,0,172.05,1.06,0,121.07,0,1.06,1.06
 96-106,0,1.09,0,218.57,3.28,0,6.56,4.37,1.09,2.19,51.36,1.09,0,3.28,146.44,116.93,0,7.65,14.21,1.09,1.09,15.3,66.66,1.09,0,190.16,1.09,2.19,193.43,0,0,0
108-118,0,0,0,164.68,1.53,0.77,4.6,2.3,0.77,0.77,34.47,0,0,4.6,87.32,77.36,0,3.83,12.26,0,0,12.26,32.94,0,0,119.49,0,0,182.3,0,0.77,0
120,0,0,0,74.47,0,0,3.92,5.88,0,1.96,9.8,0,0,0,41.16,48.99,1.96,1.96,3.92,0,1.96,23.52,13.72,0,0,37.24,0,0,56.83,0,0,0
