stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0.82,0.82,1.64,2.46,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,8.06,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0.57,0,4.59,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0.98,6.87,0,2.94,0,0.98,0,0,0
 72-82,0,0,0.98,0.98,5.89,1.96,0,0,0,1.96,1.96,2.94,11.78,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,2.12,0,2.12,1.06,9.56,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,1.09,1.09,1.09,0,10.93,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0,0,0.77,0.77,0,1.53,0,3.83,0,0.77,0,0.77,0
120,0,0,0,0,1.96,0,0,0,1.96,3.92,1.96,0,7.84,0,1.96,0,0,0
