stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,1528.64,24497.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.7,0,0,0,0,0,0,0,0
  5-6,1287.22,11339.82,12.26,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,208.41,0,30.65,0,312.61,0,0,0,0,0,0,0,0
  7-9,18.4,10.51,7.89,0,0,0,21.03,0,0,0,18.4,0,0,0,0,0,0,360.13,15.77,128.81,0,2.63,36.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,31.47,3.15,18.88,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,0,2,0,3,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,3.28,0,0,0,1.64,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0,0,2.3,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,12.76,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,155.1,0,4.91,0,0.98,0,0,0,0,0.98,0,3.93,1.96,11.78,0,0,0,0.98,0,0,0,0,0.98,0,1.96,0
 84-94,0,0,0,1.06,121.07,0,5.31,1.06,0,0,1.06,0,1.06,0,0,3.19,0,1.06,0,0,0,0,0,0,1.06,0,1.06,1.06,1.06,1.06
 96-106,0,0,0,1.09,260.1,0,3.28,0,1.09,0,0,1.09,1.09,0,0,5.46,0,14.21,0,0,0,3.28,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,196.85,0.77,4.6,0,2.3,0,0,0,1.53,0,0.77,3.06,0.77,13.02,0,0,0.77,1.53,0,0,0,0,2.3,0,0.77,0
120,0,0,0,5.88,123.47,0,5.88,0,1.96,0,0,0,1.96,0,0,1.96,3.92,15.68,0,0,0,1.96,0,0,0,0,0,0,3.92,0
