stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,55.17,429.07,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,12.26,0,0,0,0,0,0,0,0
  7-9,15.77,13.14,13.14,0,42.06,0,0,7.89,0,0,0,0,0,0,307.56,7.89,0,128.81,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,47.2,0,0,18.88,0,0,0,0,0,0,295.82,0,0,103.85,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,9,0,4,3,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,0,0,0.82,0.82,0,3.28,0.82,15.6,0,0,0,0,0,0.82,4.1,1.64,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0.81,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,3.44,0.57,1.15,0,0,0,0,0.57,1.72,1.72,9.18,0,0.57,0,0,0,0,0,0.57,0,0,0.57,0.57
 60-70,0,0,0,0,3.93,0,0,0,0,0,0,0,0.98,0,5.89,0,0,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0.98,0,0,2.94,0.98,2.94,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,3.19,0,0,0,1.06,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0,0,0.77,0,0,0,0.77,0,3.83,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
