stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,15.77,21.03,0,0,7.89,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,31.47,31.47,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,5,0,0,5,2,6,0,0,0,0,23,1,1,1,10,0,0,0,0,0
 24-34,0,0,1.64,13.13,0,0,4.1,0,1.64,1.64,0,0,0.82,0,0,4.1,0,0,0,0,13.95,2.46,0,22.98,15.6,4.1,0.82,0,0,0,54.18,0,0.82,3.28,6.57,0,0,1.64,0,2.46
 36-46,0,0,0,5.64,0,0,0,0,0.81,3.22,2.42,0,0,0,0,2.42,0.81,0.81,0,1.61,16.11,0.81,0,8.86,9.67,1.61,1.61,1.61,0,0,37.06,0,0,0,0.81,0,0,0.81,0,2.42
 48-58,0,0,0,4.59,0,0,5.74,0,0.57,2.3,6.89,0,0,0,0,1.15,0.57,0,0.57,0,51.07,1.72,0,8.61,8.61,1.15,0.57,1.15,0,0,28.12,0,0,0,2.87,0,0,2.87,0,2.87
 60-70,0,0,0,6.87,0,0,7.85,1.96,1.96,2.94,11.78,1.96,0,0,0.98,1.96,0,1.96,0.98,0,76.56,0.98,1.96,3.93,7.85,2.94,2.94,0,0,0,33.37,0,0,0,1.96,0,0.98,0,0.98,0.98
 72-82,0,0,0,9.82,0,0,11.78,0.98,5.89,2.94,12.76,0.98,0.98,0,0,1.96,0,4.91,1.96,0,68.72,4.91,0.98,2.94,12.76,0,0.98,4.91,0,0,27.49,0,0,0,1.96,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,19.12,0,5.31,7.43,0,3.19,4.25,7.43,4.25,2.12,0,2.12,7.43,1.06,1.06,1.06,0,43.54,2.12,1.06,4.25,6.37,2.12,4.25,0,0,1.06,80.71,0,4.25,0,2.12,1.06,2.12,2.12,1.06,0
 96-106,0,0,0,21.86,0,4.37,4.37,0,6.56,2.19,6.56,9.84,1.09,1.09,2.19,5.46,0,5.46,0,0,26.23,8.74,0,0,8.74,1.09,3.28,5.46,0,0,60.11,0,1.09,0,1.09,2.19,1.09,1.09,1.09,0
108-118,0,0,0,23.74,0.77,6.89,3.06,0,7.66,1.53,2.3,6.89,0,0,0,3.83,0,4.6,5.36,0,13.02,2.3,0.77,0,9.19,0,1.53,0.77,0,0,39.83,0,0,0,0,0.77,0.77,0,0.77,0
120,0,0,0,29.4,0,5.88,1.96,1.96,9.8,0,0,3.92,0,0,5.88,0,0,0,1.96,0,15.68,0,0,1.96,3.92,0,0,1.96,0,0,37.24,0,0,0,0,0,0,0,0,0
