stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,461.23,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,772.33,766.2,0,12.26,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,61.3,55.17,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,260.24,13.14,0,21.03,0,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,113.03,344.36,0,0,312.82,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,40.91,0,0,50.35,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,3,4,2,0,0,5,1,0,0,4,0,0,2,4,0,0,49,1,0,0,2,0,0,3,2,0,2,78,0,1
 24-34,0,0,0.82,0,12.31,0.82,1.64,0,2.46,3.28,0,0.82,10.67,0.82,0,3.28,10.67,0,0,206.86,0,4.1,0.82,0,7.39,0,0,0,0,0.82,48.43,0,0
 36-46,0,0,0,0,3.22,3.22,0,1.61,25.78,0.81,0,2.42,1.61,0.81,0,2.42,2.42,0.81,1.61,336.77,0,5.64,0.81,0,3.22,0,0,0.81,0,0,66.87,0,0.81
 48-58,0,0,0.57,0,4.02,3.44,0,0.57,36.72,0,1.15,1.15,2.87,0.57,0,2.3,1.72,0,1.15,208.29,0,0.57,2.87,0,1.15,0,0,0,0,0,30.41,0,0
 60-70,0,0,0,0,2.94,6.87,0,0.98,13.74,1.96,4.91,4.91,0,0,0,1.96,0.98,0,0,99.13,0,0.98,0.98,0,0,0,0,0,0,0,18.65,1.96,0
 72-82,0,0,1.96,0,15.71,5.89,0,0.98,6.87,11.78,0.98,5.89,0,0,1.96,5.89,0,0,0.98,77.55,0,0,0.98,0,0,0.98,0,0,0,0,15.71,5.89,0
 84-94,0,0,2.12,0,23.36,9.56,0,0,5.31,12.74,0,5.31,1.06,0,0,13.81,1.06,0,1.06,59.47,0,0,4.25,0,4.25,0,0,0,0,0,10.62,4.25,0
 96-106,0,0,1.09,0,19.67,5.46,1.09,0,3.28,14.21,0,5.46,0,0,0,13.11,0,0,1.09,31.69,0,0,9.84,0,5.46,3.28,0,0,0,0,2.19,5.46,0
108-118,0,0,0.77,0,6.13,3.06,1.53,0,3.83,9.96,0.77,3.83,0.77,0,0,13.02,0.77,0,0,37.53,0,1.53,3.06,0,3.06,0,0,0.77,0.77,0,1.53,5.36,0
120,0,0,0,0,27.44,1.96,3.92,0,0,7.84,0,3.92,0,0,0,1.96,0,0,0,35.28,0,1.96,7.84,0,0,0,0,0,0,0,3.92,3.92,1.96
