stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,36.8,5.26,0,26.29,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,50.35,0,0,9.44,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0.82,0,0,0,0,2.46,0,0.82,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0.81,4.03,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0.57,0.57,0,0,0,1.15,0.57,0,6.31,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0,0,20.61,0,2.94,0,0,1.96,0,0,0,0.98
 72-82,0,0,0,0,0,2.94,0,0,0,0,1.96,0,0,1.96,2.94,0,67.73,0,4.91,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,6.37,0,0,0,0,1.06,0,0,0,1.06,0,33.99,0,13.81,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,7.65,1.09,0,0,0,3.28,0,0,0,2.19,0,41.53,1.09,28.41,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0,1.53,0,0,0,0.77,0.77,0.77,0,2.3,2.3,0,68.94,0,13.79,0,0.77,3.06,0.77,0,0,0.77
120,0,0,0,3.92,0,3.92,0,1.96,0,0,1.96,0,0,5.88,1.96,0,68.59,0,3.92,0,0,0,0,0,0,0
