stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,459.72,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,18.4,0,0,21.03,0,0,0,2.63,0,0,149.84,7.89,0,47.32,0,0,0,0,0
 10-12,0,0,3.15,0,0,25.18,0,0,0,6.29,0,0,122.73,0,0,50.35,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0.82,1.64,0,0.82,0,0,0,0,7.39,0,0.82,0,0,0.82,1.64,1.64,0
 36-46,0,0,0,0.81,0,1.61,0,0,0,0,1.61,0.81,2.42,0,0,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0.57,0,2.3,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,2.94,0,1.96,0.98,0,1.96,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
