stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,1,0,2,0,0,0,1,0,0,1,0,3,0,1,11,1,0,0,0,1,0,1,7,0,0,0,0,0
 24-34,0.82,1.64,0,0,0,0,0,0.82,0.82,0.82,0,0,0,4.93,0,2.46,47.61,1.64,0,0,0,0,0,1.64,6.57,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,2.42,0,0,0,0,0,9.67,0,1.61,53.17,0,1.61,0,0,0,0,0,19.34,0,0,0,0,0.81
 48-58,0,0.57,0,0,7.46,0,0.57,1.15,0,0,0,0,0,5.16,0,0.57,25.25,0,0,0,0,0,0.57,0,6.31,0,0.57,0.57,0,0.57
 60-70,0,1.96,0,0,14.72,0.98,0,3.93,0,0,0,0,0,19.63,0,2.94,52.02,0,0,0,1.96,0,0,0,4.91,0,0,0,0.98,0
 72-82,0.98,1.96,0,0,13.74,0,0,4.91,0,0,1.96,0,0.98,7.85,0,0,16.69,0,0,0.98,0.98,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,2.12,0,0,10.62,0,1.06,0,0,1.06,0,0,0,11.68,0,1.06,10.62,1.06,0,0,1.06,0,0,0,4.25,0,0,1.06,0,0
 96-106,0,3.28,0,0,6.56,0,1.09,2.19,1.09,0,0,0,0,4.37,0,1.09,7.65,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0,0.77,0.77,0.77,0,0,0,0,4.6,0.77,0.77,13.02,0,0.77,0,0,0,0,0,1.53,0,0,3.06,0.77,0
120,0,1.96,0,1.96,1.96,0,0,0,0,0,3.92,1.96,0,1.96,0,0,21.56,0,0,0,0,0,0,0,3.92,1.96,0,5.88,0,0
