stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.72,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,5.26,68.35,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,3.15,28.32,0,0,0,0,0,0,0
 14-21,0,0,1,5,1,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,0,101,2,0,0,1,3,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0.82,0,10.67,0,0,2.46,4.93,0,0,13.95,0,0,0,239.69,0,0,0,0.82,0,0,0
 36-46,0,0,0,1.61,0,2.42,0,1.61,0,0,0.81,0,0,2.42,0,0,1.61,0.81,0,0,8.86,0,0,0,162.75,0,0.81,0,0,1.61,0,0.81
 48-58,0,0,0,1.72,0,3.44,0,0.57,0.57,0,0.57,0,0,2.87,0,0,3.44,2.3,0,0,10.33,0,0,0,110.74,0,0,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0.98,0.98,1.96,2.94,0,0,3.93,0,0.98,0,118.76,0,0,0,0,0,0.98,0
 72-82,0,0,0,6.87,0,0,0,0.98,0.98,1.96,0,0,0,2.94,0,0,5.89,3.93,0,0,5.89,0,0,0,112.89,0,0.98,0,0,1.96,0,0
 84-94,0,0,0,8.5,0,0,0,3.19,0,1.06,2.12,0,0,12.74,0,0,2.12,4.25,0,1.06,3.19,0,0,0,258.08,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,7.65,1.09,1.09,0,6.56,1.09,2.19,2.19,0,2.19,13.11,0,0,4.37,3.28,1.09,0,1.09,0,0,0,182.51,0,1.09,1.09,0,0,0,1.09
108-118,0,0,0,8.43,0,0.77,0.77,3.83,0,0,0.77,0,0,16.09,0,0,3.06,5.36,0,0.77,1.53,0,0.77,0,153.96,0,0,0,0,0,0,0
120,0,0,0,9.8,0,1.96,0,0,0,0,1.96,0,0,7.84,0,0,0,0,1.96,0,7.84,0,0,0,92.11,0,0,0,0,0,0,0
