stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,64,2,1,0,0,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,7.39,1.64,0,4.1,0,0,0,0,0.82,0.82,4.93,0,1.64,38.58,0.82,0.82,0,0.82,0,0,84.55,0.82,4.1,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0.81,0,0,11.28,0.81,0,0,1.61,0,0,45.92,0,2.42,0,0,5.64,0,2.42
 48-58,0,0,0,0,0,0,0,5.74,0,0.57,2.3,0,0,0,0,0,5.16,1.15,0,0,9.18,0,0,0,0,0,0,24.1,0,1.72,0,0,15.49,0,5.16
 60-70,0,0,0,0,0,0,0,19.63,0,0,13.74,0,0,0,0,0,0,0,0,0.98,3.93,0,0,0,0,0,0,21.59,0,2.94,0,0,16.69,0,0.98
 72-82,0,0,0,0,1.96,0.98,0,72.64,0,0,77.55,0,0,0,0,0,1.96,0.98,0,0,21.6,0,0,0,1.96,0.98,0,3.93,0,1.96,0,0.98,31.41,0,0.98
 84-94,0,0,0,0,4.25,0,0,138.06,0,0,64.78,2.12,1.06,2.12,0,0,0,5.31,1.06,1.06,18.05,0,0,0,2.12,0,0,19.12,0,1.06,0,0,15.93,1.06,3.19
 96-106,0,0,0,0,4.37,1.09,1.09,236.05,0,0,106.01,0,0,0,0,1.09,0,8.74,0,1.09,30.6,0,1.09,0,4.37,0,0,4.37,0,0,2.19,0,22.95,0,2.19
108-118,0,0,0,0,0.77,1.53,0.77,236.68,0,0,84.26,0.77,0,1.53,0.77,1.53,2.3,5.36,0,1.53,22.98,0,0.77,0,3.06,0,0,1.53,0,1.53,0,0,22.21,0.77,4.6
120,0,0,0,0,5.88,1.96,0,229.29,0,1.96,74.47,1.96,0,0,0,0,0,5.88,0,1.96,19.6,0,0,0,1.96,0,0,0,0,1.96,0,0,31.36,0,1.96
