stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,12,2,0,4,0,0,0,1,1,1,0,0,0,0,0,0,1,7,0,0,11,43,1,1,0,3,0,10,9,0,3,24,26,0,1,0,0
 24-34,0,0,0.82,3.28,3.28,0,0,16.42,0,1.64,0,2.46,0,0,0.82,1.64,0,0.82,0,0,0.82,16.42,0,0.82,7.39,151.04,3.28,1.64,1.64,0,0,13.13,0,0.82,0.82,6.57,39.4,0,3.28,0,0
 36-46,0,0,0,0.81,0.81,0,0,22.56,1.61,0.81,0.81,3.22,0.81,0,0,0,1.61,0,0.81,0,0.81,14.5,0,0,1.61,89.43,0.81,2.42,0.81,0,0,13.7,0,1.61,0,0,18.53,0,4.83,0,0
 48-58,0,0,0,0,4.02,1.15,0,32.13,2.3,2.3,0,6.89,0.57,0.57,0,0.57,0.57,0.57,0,1.15,2.3,17.21,0.57,1.72,1.72,82.63,0.57,1.15,0.57,0,0,9.18,0,0.57,0.57,0,16.07,0,5.16,0,2.3
 60-70,0,0,0,0,0.98,0,0,31.41,0.98,0.98,1.96,12.76,0.98,0,0,0,0.98,1.96,0,1.96,0,17.67,0,1.96,0.98,74.6,0,1.96,0.98,0,0,6.87,0,0,1.96,0,12.76,0,1.96,0,2.94
 72-82,0,0,2.94,0,9.82,0.98,0,61.84,0,0,0.98,11.78,2.94,0,0,2.94,0,2.94,0,0,2.94,26.5,0.98,0.98,8.83,98.17,0.98,4.91,1.96,0,0,5.89,0,0,0,0,5.89,2.94,9.82,0,2.94
 84-94,0,0,0,0,3.19,1.06,1.06,22.3,1.06,2.12,1.06,10.62,6.37,0,0,7.43,1.06,6.37,0,1.06,3.19,18.05,0,1.06,4.25,53.1,2.12,3.19,7.43,0,0,15.93,0,1.06,1.06,0,1.06,0,1.06,2.12,1.06
 96-106,0,0,1.09,0,8.74,2.19,0,30.6,2.19,2.19,0,7.65,3.28,0,2.19,6.56,0,2.19,1.09,1.09,0,13.11,1.09,0,2.19,43.71,0,2.19,2.19,0,1.09,14.21,0,0,0,0,2.19,3.28,5.46,1.09,1.09
108-118,0,0,0,0,14.55,1.53,3.06,28.34,0.77,2.3,1.53,8.43,2.3,0,0,5.36,0.77,1.53,0,1.53,3.06,19.92,1.53,0,2.3,39.83,0,6.13,3.06,0,0.77,13.02,0,1.53,0.77,0,0,1.53,5.36,2.3,3.83
120,0,0,0,0,25.48,11.76,1.96,27.44,9.8,5.88,1.96,27.44,7.84,0,0,5.88,3.92,3.92,0,1.96,0,23.52,0,1.96,9.8,52.91,1.96,7.84,1.96,0,1.96,13.72,0,3.92,0,0,1.96,0,9.8,0,1.96
