stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,92.25,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,919.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,17,1,0,3,0,0,0,0,1,5,1,0,1,0,0,0,1,0,0,2,153,0,3,3,0,0,2,1,0,2,1,9,0,0,1,0
 24-34,0,0,0,1.64,11.49,0,0,4.1,0,1.64,0,5.75,0.82,2.46,5.75,0,1.64,0,0,0,0.82,2.46,0,0,220.81,0,5.75,6.57,0,0,1.64,0,0.82,7.39,0,13.13,0,0,8.21,0
 36-46,0,0,0,0,4.83,0,0,8.06,0,3.22,0.81,18.53,3.22,0.81,8.86,0,0,0,1.61,0.81,3.22,4.83,0,1.61,165.97,0,1.61,8.86,0,0,1.61,0,0,9.67,0,12.09,0,0,2.42,0
 48-58,0,0,0,0,4.59,0,0,9.75,0.57,1.15,0,24.1,1.15,2.3,4.59,0,0.57,0.57,1.15,0.57,4.02,9.18,0.57,1.15,95.25,0,2.3,8.03,0,0,0,0,0,5.16,0,9.75,0,0,0.57,0
 60-70,0,0,0,0,9.82,0,0,18.65,0,0.98,0,35.33,1.96,0.98,6.87,0,0.98,0,0,1.96,3.93,10.8,0,0,167.84,0,0,8.83,0,0,1.96,0,0,8.83,0,13.74,0.98,0,3.93,0
 72-82,0,0,0,0.98,8.83,0.98,0.98,33.38,0,0,0,38.28,18.65,1.96,8.83,0.98,0.98,0.98,6.87,0,17.67,15.71,0.98,0,244.43,0,2.94,11.78,0,0.98,0,0,0,12.76,0,9.82,0,0.98,5.89,0
 84-94,0,0,0,0,20.18,1.06,3.19,30.8,0,7.43,0,32.92,32.92,0,6.37,0,1.06,0,4.25,1.06,18.05,24.43,1.06,0,144.44,0,8.5,12.74,0,0,5.31,0,0,16.99,0,7.43,3.19,0,3.19,1.06
 96-106,0,0,1.09,0,14.21,1.09,4.37,40.44,1.09,3.28,0,18.58,43.71,0,10.93,0,2.19,0,2.19,2.19,15.3,30.6,1.09,0,168.3,0,15.3,25.14,0,0,4.37,0,0,14.21,0,12.02,3.28,0,5.46,0
108-118,0,0,0,1.53,22.98,0.77,12.26,26.04,0.77,3.83,1.53,36.77,53.62,0,6.89,0.77,5.36,0.77,2.3,3.06,12.26,19.92,1.53,0.77,196.85,0.77,8.43,13.79,0,0.77,3.06,0,0,13.02,0,4.6,4.6,1.53,7.66,0
120,0,0,1.96,1.96,9.8,1.96,7.84,15.68,0,5.88,1.96,25.48,21.56,0,7.84,0,5.88,1.96,3.92,1.96,11.76,9.8,0,0,258.69,1.96,3.92,11.76,0,0,0,0,0,23.52,0,9.8,0,0,5.88,0
