stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,23,0,0,0,0,0,0,1,1,0,13,0,0,0,0,2,0,0,0,51,0,1,1,0,0,35,1,82,0,0,0,0,0
 24-34,0,1.64,0,0,53.36,1.64,0,0,0,0,0,0,0.82,0,28.73,0,0,0,0,2.46,3.28,0,1.64,350.51,0.82,4.1,4.93,0,0,18.88,0.82,174.02,0,0,0.82,0,3.28
 36-46,0,0,0,3.22,20.95,26.59,0,0.81,0,9.67,0,0,0.81,1.61,17.72,0,0,0,0,5.64,0.81,0,1.61,1226.23,0.81,8.06,1.61,0,3.22,13.7,0,385.92,0,0,0,0,0.81
 48-58,0,1.15,0,4.02,29.84,113.61,0.57,0.57,2.87,53.94,0,0,0,0,7.46,0,0.57,0,0,11.48,0.57,0.57,1.72,1124.08,0,5.16,2.3,0,2.87,2.87,0,386.74,0,0,0,0,1.15
 60-70,0,0.98,0,1.96,23.56,410.28,0,0,0.98,118.76,0,0,0.98,0.98,7.85,1.96,0,2.94,0,13.74,0.98,0.98,3.93,1439.89,0,5.89,4.91,0,0.98,9.82,0,372.98,0,2.94,0,0.98,0.98
 72-82,0,0.98,0,9.82,32.39,524.21,0,0,0.98,151.18,0,0,0.98,0.98,12.76,1.96,0,1.96,0,33.38,0,0.98,1.96,984.61,0,13.74,4.91,0,0.98,5.89,0,130.56,0,6.87,1.96,2.94,1.96
 84-94,0,0,0,5.31,43.54,299.49,2.12,1.06,1.06,125.32,0,1.06,0,0,14.87,1.06,0,1.06,1.06,19.12,1.06,5.31,2.12,494.91,0,2.12,8.5,0,2.12,13.81,0,77.53,2.12,8.5,1.06,3.19,4.25
 96-106,0,1.09,0,10.93,37.16,278.68,0,3.28,0,125.68,3.28,0,0,2.19,18.58,0,1.09,0,1.09,16.39,0,1.09,0,383.59,0,12.02,8.74,1.09,3.28,4.37,0,36.06,2.19,4.37,2.19,1.09,1.09
108-118,0,1.53,0,12.26,27.57,244.34,0,0,0,105.7,0.77,0,0,0.77,14.55,0,0,1.53,0,9.96,0.77,0.77,0.77,468,0,3.83,6.89,2.3,3.06,8.43,0,24.51,3.06,5.36,2.3,0,0
120,0,0,0,3.92,39.2,168.54,1.96,5.88,1.96,103.87,0,0,0,5.88,13.72,0,1.96,0,0,19.6,0,0,1.96,452.71,0,1.96,3.92,0,0,3.92,0,23.52,0,5.88,0,0,0
