stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,15.73,0,0,0,0,0,0
 14-21,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,1,2,0,0
 24-34,0,0,0,0,0,29.55,0,0,0,0,0,0,0,0,0,0.82,0,13.13,0,0,0.82,0,0,0,2.46,0
 36-46,0,0,0,0,0,55.59,0,0,0,0.81,0,0.81,0,0,0,1.61,0,24.98,0,0,1.61,0,0,0,2.42,0
 48-58,0,0,0.57,0.57,0,63.69,0,0,0,1.15,0,0,0,0,0,0.57,0,16.64,0,0,0,0,0,0,2.87,0
 60-70,0,0,0,0,0,149.19,0.98,1.96,0,0.98,0,0.98,0,0,0,0.98,0.98,26.5,0,0,0.98,0,0,0,2.94,0
 72-82,0,0,0,0,0,290.57,0,0,0,2.94,0,0,0,0.98,0,4.91,0,27.49,0.98,0,0,0,0,0,2.94,0
 84-94,0,0,3.19,0,0,337.73,2.12,1.06,1.06,4.25,0,3.19,0,1.06,0,2.12,0,11.68,1.06,0,2.12,1.06,0,0,0,0
 96-106,0,0,2.19,0,0,242.61,0,0,0,4.37,0,1.09,1.09,0,1.09,2.19,0,10.93,0,0,1.09,0,0,0,0,1.09
108-118,0,0,1.53,0,0,209.11,0,0,0,3.83,0,0.77,0,0.77,0,0,0.77,6.13,1.53,0,0,0,0,0,0,0
120,0,0,0,0,1.96,103.87,0,0,0,3.92,0,7.84,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
