stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,12,18,6,1,0,2,0,16,31,0,0,0,0,0,0,0,0,67,0,0,34,69,2,1,0,1,1,2,1,12,191,0,0,8,0,0
 24-34,0,0,3.28,9.03,6.57,0.82,9.85,0,4.1,0,17.24,13.13,0,0.82,0,0.82,0,0,0,1.64,55.82,0,0,10.67,435.87,0,36.12,0,0,0.82,0,0,0.82,267.6,0,0,43.51,0,0.82
 36-46,0,0,2.42,0.81,0.81,0,54.79,0,0,0.81,8.86,3.22,0,0,0,0,0,0,0.81,0.81,16.11,0,1.61,3.22,916.85,0,45.92,2.42,0,0,0,0,0,282.79,0,0,24.98,0,0.81
 48-58,0,0,0.57,0,2.87,0,157.22,0,1.72,0.57,18.36,0.57,0,1.72,0,0.57,0,0,0,1.72,13.2,0,0,2.87,924.97,0.57,40.17,0.57,0,1.72,0.57,0,0,253.62,0,0,57.38,0,0.57
 60-70,0,0,0,0,3.93,0,315.07,0,2.94,0,41.22,0,0,6.87,0,0,0,0.98,0,1.96,16.69,0,0.98,1.96,1162.12,0,43.19,0,0,0.98,0,0,0,232.62,0,0,73.61,0,0.98
 72-82,0,0,1.96,0,9.82,2.94,273.88,0,0,2.94,49.08,1.96,0,4.91,1.96,0,0.98,0.98,0.98,0,30.43,0,0,0,999.33,0,78.53,3.93,0,0.98,0,0,0,117.8,0.98,1.96,178.66,0.98,0.98
 84-94,0,0,1.06,0,10.62,0,183.73,0,3.19,1.06,41.42,2.12,0,5.31,0,1.06,2.12,4.25,1.06,0,20.18,0,1.06,0,508.72,0,77.53,0,0,2.12,0,1.06,0,64.78,0,2.12,176.3,1.06,0
 96-106,0,0,0,0,10.93,3.28,148.63,0,1.09,1.09,26.23,4.37,0,4.37,0,1.09,0,2.19,0,0,16.39,0,2.19,1.09,393.42,0,93.98,4.37,0,1.09,0,0,0,25.14,1.09,0,204.36,2.19,0
108-118,0,0,0,0,13.02,1.53,121.79,0,3.06,3.06,19.92,0.77,0.77,2.3,0,1.53,2.3,3.06,3.06,0.77,16.09,0.77,0,0,383.75,0,58.21,0.77,0,0.77,0,2.3,0,23.74,1.53,0,146.3,1.53,0
120,0,0,1.96,0,29.4,1.96,129.35,1.96,1.96,1.96,33.32,1.96,0,1.96,0,3.92,1.96,1.96,0,0,23.52,0,0,1.96,535.02,0,45.08,1.96,0,1.96,0,1.96,0,29.4,0,0,156.78,1.96,1.96
