stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,461.23,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,760.07,465.85,0,24.52,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0,165.5,55.17,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,596.72,10.51,0,964.74,0,0,0,34.17,0,0,0,0,210.3,0,0,0,0,0,0,0,0,0,0,0,759.7,672.95,0,0,141.95,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,506.66,0,0,0,53.5,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,651.42,575.9,0,0,97.56,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,7,109,211,3,0,3,0,0,43,9,7,0,0,0,1,0,1,0,6,0,0,3,164,326,0,1,8,0,0,1,1,4,604,0,0,0,0,0
 24-34,0,0,14.78,50.07,159.25,0.82,0,2.46,0,0,52.53,0.82,0.82,0,0,0,0,0,5.75,0,2.46,0.82,0,1.64,321.78,59.1,0,0,0,0.82,0,0,0.82,0.82,529.45,0,0,0,0,0.82
 36-46,0,0,5.64,8.86,86.21,0,0,8.06,0,0,40.28,2.42,0,0,0,0,0.81,0,4.03,0,4.03,0,0,0.81,342.41,29,0.81,0,0,3.22,0,0,0,0,287.62,0,0,0.81,0,0
 48-58,0,0,4.02,4.59,96.97,0,0,16.64,1.15,0.57,30.41,7.46,0,0,0,0.57,0,0,4.59,0.57,4.59,0,0.57,0.57,242.15,17.21,1.15,0,0,0,0,0,0,0,192.22,0,0,0.57,0,0
 60-70,0.98,0,6.87,0,77.54,0,0,6.87,0,0.98,40.24,21.59,0,0,0,1.96,0,0.98,5.89,0,5.89,0,0,0,167.84,18.65,0,0,0,0,0,0,0,0,70.67,4.91,0,0,0,0
 72-82,0,0,32.39,1.96,109.95,0,0,30.43,0.98,0.98,54.97,48.1,0.98,0.98,0,3.93,0,0.98,5.89,0.98,13.74,2.94,0.98,0,183.57,6.87,0.98,0,0,2.94,0,0,0,0,69.7,28.47,0.98,4.91,0,0
 84-94,0,0,28.68,2.12,157.18,0,2.12,26.55,1.06,1.06,40.36,83.9,0,3.19,0,7.43,0,0,23.36,0,5.31,1.06,2.12,3.19,101.96,21.24,0,1.06,0,3.19,0,0,0,0,43.54,84.96,0,1.06,0,0
 96-106,0,0,31.69,6.56,169.39,0,2.19,17.49,1.09,0,32.79,142.07,0,0,1.09,15.3,0,1.09,20.76,0,6.56,0,0,3.28,83.06,19.67,0,1.09,0,4.37,3.28,0,0,0,75.41,138.79,0,0,2.19,1.09
108-118,0.77,0,19.92,2.3,110.3,0.77,3.83,3.83,0,0,32.94,103.41,0,0,1.53,9.19,0,0,26.81,0,5.36,1.53,0,0,88.85,20.68,0,0,0,1.53,0,0,0.77,0,37.53,127.92,0,1.53,0.77,0
120,0,0,9.8,0,88.19,0,0,5.88,0,0,19.6,52.91,0,0,0,3.92,0,0,29.4,0,9.8,3.92,0,0,84.27,27.44,1.96,3.92,0,1.96,0,0,0,0,33.32,48.99,0,0,0,0
