stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,79,2,0,8,0,5,0,8,1,1,0,0,1,0,1,0,1,10,1,0,4,134,65,0,2,3,0,0,1,19,2,2,11,30,0,0,1,0,0
 24-34,0,1.64,312.75,0,0,16.42,0,82.91,9.85,3.28,0,0,0,0,0.82,0,3.28,0,0,67.31,4.93,0,78.8,135.44,27.09,1.64,2.46,0,0,3.28,0,0,10.67,0,1.64,20.52,0,0,0.82,0,0.82
 36-46,0,0,190.94,0,0,24.17,0,118.43,45.92,4.83,0.81,0,0,0.81,1.61,0,3.22,0,1.61,242.51,3.22,0,174.83,165.97,8.86,0.81,0,0,0,2.42,0.81,0,9.67,0.81,0,54.79,0,0.81,1.61,0,0.81
 48-58,0,0,114.19,0,0,55.66,0.57,145.17,61.4,9.75,0,0,0.57,0,0.57,0,2.3,0,0.57,242.15,1.72,0.57,140.58,130.25,0.57,1.15,0.57,0,0.57,3.44,0,0,2.87,1.15,0,28.12,0,0,0,0,2.3
 60-70,0,0,39.26,0,0.98,130.54,0.98,84.41,50.06,18.65,0,0,0,0.98,0,0,0,0.98,1.96,304.27,0,6.87,106.99,202.19,0,0.98,0.98,0,0,1.96,0,0,2.94,0.98,0,36.32,0,1.96,1.96,0.98,1.96
 72-82,0,0.98,34.36,0,0,108.96,2.94,71.66,79.51,49.08,0,0,0.98,0.98,0,0,0,0,0.98,410.33,0.98,6.87,151.18,195.35,0,0.98,1.96,0,0.98,2.94,0,0,2.94,0,0,16.69,0,6.87,2.94,7.85,0.98
 84-94,0,0,65.85,0,1.06,114.7,2.12,83.9,48.85,36.11,4.25,2.12,1.06,1.06,1.06,1.06,2.12,1.06,1.06,294.18,0,3.19,115.76,98.77,1.06,2.12,4.25,0,1.06,6.37,0,0,4.25,2.12,0,7.43,0,4.25,2.12,9.56,3.19
 96-106,0,0,39.34,2.19,1.09,108.19,2.19,61.2,38.25,29.51,7.65,0,3.28,5.46,0,2.19,3.28,2.19,0,320.2,1.09,4.37,112.56,124.58,0,9.84,4.37,0,1.09,3.28,0,0,6.56,1.09,0,4.37,0,15.3,7.65,28.41,0
108-118,0,0.77,32.94,3.83,0,98.81,2.3,56.68,37.53,36,2.3,0,1.53,3.06,1.53,3.83,1.53,3.06,2.3,337.79,0,4.6,111.83,143.24,0.77,4.6,10.72,0,1.53,3.83,0.77,0,3.06,3.83,0,8.43,0,16.85,7.66,15.32,7.66
120,0,0,23.52,1.96,0,58.79,1.96,41.16,35.28,15.68,1.96,0,0,1.96,0,1.96,3.92,1.96,0,280.25,0,5.88,70.55,141.1,3.92,0,5.88,0,1.96,0,1.96,0,0,0,0,3.92,1.96,9.8,3.92,19.6,0
