stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,6,0,1,1,1,0,4,0,1,0,0
 24-34,0,1.64,0,0,0,0,0,0.82,0,0,0.82,0,1.64,0,0,27.91,0.82,76.34,0.82,0,0,0,0.82,19.7,0,0,0,0
 36-46,0,0.81,0.81,2.42,0,0,0,0,0,0,0,0,3.22,0,0,22.56,0,74.12,0.81,0,0,0,0,11.28,0,0,0,0
 48-58,0,0.57,0,5.16,0,0,0,0,0,0,0,0,1.15,0.57,0,15.49,0.57,51.07,0,0,0.57,0,0,6.31,0,0,0,0
 60-70,0,0,0,3.93,0.98,0,0.98,0.98,0,0,0,0,0.98,0,0.98,24.54,0,60.85,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0.98,0,3.93,0,0,1.96,0,0.98,0,0,0.98,4.91,0,0.98,15.71,0,122.71,0.98,0,0.98,0,0,1.96,0.98,0.98,0.98,0
 84-94,1.06,0,0,3.19,0,0,1.06,0,0,0,0,0,2.12,0,0,6.37,0,126.38,0,0,3.19,0,0,3.19,1.06,0,1.06,1.06
 96-106,0,0,1.09,5.46,0,0,3.28,2.19,0,2.19,0,0,0,0,0,7.65,0,224.03,0,0,0,0,0,0,1.09,0,0,1.09
108-118,0,1.53,0,5.36,0,1.53,0,0.77,0,0,0,0,2.3,0,0,9.19,0,153.19,0,0,0.77,0,0,0,0.77,0,0,0.77
120,0,1.96,0,0,0,0,1.96,0,0,0,0,0,5.88,0,0,11.76,0,117.59,0,0,0,0,1.96,0,0,0,0,0
