stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,23.66,7.89,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,15.73,75.53,44.06,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,3,0,0,1,0,5,7,2,0,0,1,0,2,32,0,0
 24-34,0,0,0,0,0,0.82,0.82,1.64,0,0,2.46,0,5.75,4.93,0,0,0,0,0,0.82,57.46,0,0
 36-46,0,0,0.81,0,0.81,0,0.81,0,0.81,0,2.42,0.81,4.83,0,0,0,0,0,0,0,38.67,0,0
 48-58,0,0,0,0,0.57,0.57,4.59,0,0,0,2.87,1.15,1.72,0,0,0,0,0,0,0,20.66,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,4.91,1.96,6.87,0,0,0,0,0,0,0,8.83,0,0
 72-82,0,0,0,0,1.96,0.98,3.93,0,1.96,0,1.96,0.98,3.93,0,0,0,0,0,0,0,11.78,0,0
 84-94,0,0,1.06,0,2.12,1.06,4.25,1.06,3.19,1.06,2.12,0,0,0,0,0,0,0,0,0,15.93,0,0
 96-106,0,0,1.09,0,0,0,2.19,2.19,4.37,0,1.09,0,4.37,0,0,1.09,0,0,1.09,0,9.84,0,0
108-118,0,0,0,0,0,0,0,0,4.6,0,0.77,0.77,3.83,0,0,0,0,0,0.77,0,12.26,0.77,0
120,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0,9.8,0,1.96
