stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,65.72,0,0,31.54,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,154.2,0,0,69.23,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,2,11,1,0,0,0,2,0,1,7,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0.82,0,0,18.06,0,0.82,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0,0,0,0,38.67,0,0.81,0,0,0,0,0,5.64,0,0,0
 48-58,0,0,0,0,0,0,0,5.16,0,0,1.72,0,0,0,0,0,5.16,0,0.57,35,0.57,0,0,0,0,0,0,5.74,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,0,7.85,0,1.96,4.91,0,0,0,0,0.98,2.94,0.98,0,34.35,0,0,0,0.98,0,0,0,7.85,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,2.94,0.98,0.98,1.96,0.98,0,0,0,0,7.85,0,1.96,34.36,0,0.98,0,0,0,0,0,4.91,0,1.96,0
 84-94,0,0,1.06,0,0,0,0,3.19,0,0,4.25,0,0,0,0,0,2.12,0,1.06,9.56,0,0,0,1.06,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,3.28,1.09,0,3.28,0,0,1.09,0,0,4.37,0,1.09,14.21,0,0,0,0,0,0,0,0,0,0,2.19
108-118,0,0,0,0,0.77,0,0,3.06,0.77,0.77,1.53,0,0,0,0.77,0,3.06,0,0,12.26,0,0,0,0,0,0,0,3.06,0,1.53,0.77
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0,0
