stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,70,4,7,0,0,2,2,0,1,0,4,0,0,0,0,11,0,0,8,57,3,1,2,2,0,1,2,1,22,20,0,0,2,0,0
 24-34,0,0,0.82,19.7,1.64,8.21,2.46,0,1.64,0.82,0,0,0,1.64,0,0.82,0.82,3.28,32.83,0,3.28,1.64,61.56,0,0,0.82,0,0,2.46,0,0,0,15.6,0,0,4.93,0,0
 36-46,0,0,0,10.47,0,8.86,2.42,0.81,2.42,0,0,0,0,0,0,0.81,0,1.61,21.75,0,8.06,4.03,48.34,0,1.61,0,0,0,1.61,0,0,0,15.31,0,0,1.61,0,0
 48-58,0,0,0,10.9,0,10.33,3.44,0.57,0.57,0,0,0.57,0.57,0.57,0,1.15,0,0,21.8,0,20.66,2.87,35,0,0,0.57,0,0.57,0.57,0,0,0,9.18,0,0.57,1.15,0.57,0.57
 60-70,0,0,0,12.76,0,14.72,3.93,1.96,2.94,0,0,0,0,0,0.98,0.98,0,0,27.48,0.98,14.72,2.94,98.15,0,0,0,0,0,0,0,0,0,9.82,0,4.91,0,5.89,0.98
 72-82,0,0,0,14.72,0,11.78,1.96,3.93,11.78,1.96,0,0,0.98,0,1.96,0.98,0.98,0,43.19,1.96,12.76,4.91,90.31,0,5.89,2.94,0,0.98,0.98,0,0,0,11.78,0.98,4.91,3.93,17.67,0
 84-94,1.06,0,0,28.68,0,12.74,4.25,3.19,2.12,5.31,0,1.06,1.06,1.06,2.12,1.06,1.06,0,32.92,0,15.93,3.19,47.79,0,5.31,0,0,0,1.06,0,0,0,3.19,1.06,9.56,2.12,16.99,0
 96-106,0,0,0,50.27,0,13.11,3.28,3.28,13.11,6.56,0,0,2.19,1.09,1.09,1.09,1.09,0,26.23,1.09,4.37,0,52.46,2.19,10.93,2.19,0,1.09,4.37,0,0,0,3.28,13.11,7.65,5.46,24.04,0
108-118,0,0,0,39.83,2.3,7.66,8.43,2.3,8.43,4.6,0,0,2.3,3.83,1.53,1.53,2.3,0.77,33.7,1.53,3.83,2.3,60.51,0,5.36,1.53,0,0.77,1.53,0,0,0,7.66,10.72,4.6,3.06,11.49,0
120,0,0,0,47.03,0,13.72,11.76,3.92,5.88,5.88,0,0,3.92,0,3.92,0,0,0,17.64,0,0,7.84,43.12,0,0,0,0,0,0,0,0,0,3.92,1.96,3.92,0,9.8,0
