stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,2240.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,858.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,44.69,0,39.43,0,0,0,78.86,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,885.88,23.66,0,0,1117.2,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,163.64,0,289.52,0,18.88,0,185.67,0,0,0,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,3.15,4912.42,66.09,0,0,2234.35,0,0,18.88,25.18,251.76,0,34.62,22.03,0,0,0,0
 14-21,0,0,3,168,2416,125,0,989,0,1,0,186,74,7,14,1,27,3,7,9,15,732,5,0,753,10195,66,1,229,37,0,65,3,277,86,75,1758,3223,0,16,0,4
 24-34,0.82,0,0.82,91.94,573.78,14.78,0,448.19,0,1.64,0.82,227.38,24.63,4.1,25.45,0.82,2.46,4.1,19.7,18.88,8.21,794.59,3.28,1.64,508.93,7242.41,72.24,9.85,130.52,0,3.28,37.76,0,0,18.88,18.88,158.43,2732.63,0,41.86,0,3.28
 36-46,0,0,0.81,7.25,75.73,1.61,0,89.43,0.81,1.61,3.22,124.07,9.67,0,20.14,0.81,0,3.22,1.61,4.03,0.81,339.19,0,10.47,140.99,1589.59,26.59,0.81,31.42,0,0.81,16.11,1.61,0,1.61,6.45,2.42,1365.61,0.81,13.7,0,3.22
 48-58,0,0,0,0.57,12.05,0.57,0,33.85,1.15,0,4.59,52.22,1.72,0,5.74,0,0,0,0.57,1.15,0,109.02,0.57,2.3,40.17,132.55,2.3,0,13.77,0,0,6.31,0,0,0,1.72,0,202.55,0,1.72,0,0
 60-70,0,0,0.98,0,0.98,0,0,37.3,0,0,5.89,39.26,1.96,0,0,0,0,0,0,0,0,70.67,0,3.93,16.69,49.08,0,0,4.91,0,0.98,1.96,0,0,1.96,0,0,33.37,2.94,0.98,0,0
 72-82,0,0,0,0,0.98,1.96,0.98,31.41,0,0,5.89,38.28,0,0,0,0,0,0.98,1.96,0.98,0,49.08,0,0.98,16.69,29.45,0,0,9.82,0,0,0,0,0,0,0,0,6.87,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,0,24.43,0,0,0,33.99,1.06,0,2.12,0,0,0,1.06,0,0,25.49,0,1.06,11.68,15.93,1.06,0,14.87,0,0,1.06,0,0,0,1.06,0,13.81,0,0,1.06,0
 96-106,0,0,0,0,1.09,3.28,0,7.65,0,0,4.37,25.14,1.09,0,0,0,0,0,0,2.19,0,36.06,0,1.09,5.46,9.84,0,0,10.93,0,0,1.09,0,0,0,0,0,9.84,0,1.09,3.28,0
108-118,0,0,0.77,0,0.77,0,0,8.43,0,0.77,4.6,22.98,0.77,0,0,0,0,0.77,0.77,0.77,0,22.21,0,0.77,4.6,16.09,0,0,7.66,0,0,0,0,0,0.77,0,0,9.19,1.53,0,0,0.77
120,0,0,0,0,1.96,0,0,3.92,0,0,1.96,9.8,1.96,0,0,0,0,0,0,0,0,23.52,0,0,3.92,23.52,0,0,9.8,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0
