stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,747.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,30.65,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,13.14,0,76.23,0,0,70.98,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,657.18,26.29,0,0,239.21,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,0,50.35,0,9.44,75.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789.89,69.23,0,0,346.17,0,3.15,15.73,6.29,28.32,0,0,0,0,0,0,0,0
 14-21,0,2,0,9,402,50,29,0,0,0,14,2,0,2,1,5,0,1,3,63,1,0,67,532,106,2,7,50,0,29,1,301,11,20,327,236,0,0,13,0,0
 24-34,0.82,0,0,4.93,160.07,4.93,29.55,0.82,18.88,9.03,37.76,1.64,0.82,7.39,0.82,22.16,0.82,7.39,0.82,139.55,3.28,0,93.58,618.93,90.29,3.28,13.13,0,0,99.32,0,0.82,13.13,8.21,91.94,243.79,0,0,56.64,0,0
 36-46,0,0,0,0,83.79,0,33.03,4.03,13.7,18.53,47.53,0,0,13.7,1.61,6.45,0.81,2.42,1.61,279.57,1.61,5.64,90.23,423.78,65.26,3.22,8.06,0,0,97.49,0,0,2.42,5.64,1.61,243.31,0,0.81,62.04,0,0.81
 48-58,0,0,0,0,57.95,1.15,45.9,4.59,18.36,20.66,74.59,1.72,1.72,12.05,1.15,2.87,0.57,2.3,1.72,350.02,1.72,14.35,58.53,230.67,37.87,2.3,9.18,0,1.72,51.64,0,0.57,1.72,3.44,0,138.86,0,4.02,60.82,0,0
 60-70,0.98,0,0,0,96.19,0,150.17,7.85,12.76,25.52,82.45,4.91,1.96,12.76,8.83,1.96,0.98,3.93,0.98,542.78,2.94,21.59,53.98,178.64,22.58,1.96,10.8,0,4.91,86.37,0,0,1.96,1.96,0,107.97,1.96,11.78,44.17,3.93,0
 72-82,0,0,0,0,116.82,0.98,342.6,1.96,17.67,32.39,94.24,14.72,0.98,6.87,4.91,4.91,2.94,2.94,2.94,728.39,5.89,29.45,54.97,184.55,15.71,0.98,12.76,0,4.91,65.77,0,0,4.91,0.98,0,65.77,7.85,29.45,98.17,25.52,1.96
 84-94,0,0,2.12,0,297.37,0,219.84,1.06,40.36,22.3,81.78,25.49,3.19,4.25,5.31,16.99,2.12,9.56,1.06,550.14,6.37,32.92,42.48,117.89,28.68,3.19,16.99,0,3.19,238.96,0,0,6.37,1.06,0,37.17,5.31,23.36,84.96,32.92,0
 96-106,0,0,0,0,369.38,4.37,231.68,1.09,41.53,16.39,87.43,36.06,0,8.74,6.56,12.02,3.28,7.65,3.28,476.48,7.65,31.69,27.32,140.98,21.86,8.74,14.21,0,4.37,160.65,0,0,3.28,1.09,0,41.53,15.3,34.97,121.31,36.06,2.19
108-118,0,0,0.77,0,453.45,3.06,155.49,3.06,85.02,18.38,65.87,39.83,0,5.36,9.19,16.09,10.72,2.3,3.06,373.02,5.36,16.85,28.34,119.49,13.02,8.43,22.98,0,7.66,137.11,0,0,6.13,0.77,0,16.85,6.89,19.15,84.26,26.04,1.53
120,1.96,0,0,0,378.24,3.92,80.35,1.96,43.12,11.76,68.59,21.56,0,5.88,1.96,7.84,1.96,0,1.96,272.41,9.8,21.56,35.28,162.66,25.48,3.92,17.64,0,1.96,125.43,0,0,3.92,0,0,21.56,1.96,15.68,66.63,23.52,0
