stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,7.89,0,0,0,0,0,0,0,47.32,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,72.38,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,1,0,0,1,0,0,2,1,19,0,0,0,0,0,5,0,1,8,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,4.1,1.64,26.27,0,0,0,0,0,0,0,1.64,3.28,0,0,0.82
 36-46,0,0,0,0,0.81,0,5.64,0,0,0,0,0,0.81,0,25.78,0,0,0,0,0.81,0,0,0,5.64,0,0,0.81
 48-58,0,0,0,0,0,0,7.46,0,0,0,0,0.57,3.44,0.57,16.07,0,0.57,0,0,1.15,0,0.57,0,1.72,0,0,0
 60-70,0,0,0.98,0,0,0,4.91,0.98,0,0.98,0,0,1.96,0,8.83,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0.98,0,9.82,0,0.98,4.91,0,0,4.91,0,10.8,0.98,0,0,0,0.98,0,0,0,1.96,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,3.19,0,0,1.06,0,0,1.06,0,6.37,0,1.06,0,0,2.12,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,6.56,0,0,1.09,0,0,3.28,0,5.46,0,0,0,1.09,1.09,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0.77,0,0.77,0,3.83,0.77,0,2.3,0.77,1.53,3.83,1.53,9.19,0,0,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,0,5.88,0,0,1.96,0,0,5.88,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0
