stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,otic,periderm,spinal_cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,4.83,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,1.72,0,13.77,0.57,0
 60-70,0,0,0,2.94,0.98,0.98,0,0,0,0.98,3.93,0,86.37,0.98,0
 72-82,0,1.96,0,0.98,1.96,0,0,1.96,0.98,2.94,3.93,0,182.59,0,0
 84-94,0,1.06,1.06,2.12,4.25,0,0,4.25,0,2.12,0,0,458.8,0,0
 96-106,0,1.09,1.09,0,8.74,0,0,9.84,1.09,5.46,9.84,0,557.35,0,0
108-118,0,3.06,0,0.77,4.6,2.3,0,7.66,0.77,4.6,5.36,0,372.26,0,0.77
120,0,5.88,0,5.88,9.8,1.96,1.96,3.92,0,11.76,3.92,1.96,580.1,0,0
