stage,axial,erythrocytes,eye,fin.epithelia,glial,mesenchyme,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0
 14-21,0,0,0,0,0,1,1,9,0,3,9,1,1,0,0
 24-34,0,0,0,0,0,1.64,3.28,5.75,0,0,0,6.57,0,0,0
 36-46,0,0,0,0,0,0,4.83,11.28,0,0,0,0,0.81,0.81,0
 48-58,0,0,1.72,0,1.15,2.87,14.35,4.02,0,0,0,0,0.57,0.57,0.57
 60-70,0,0,0.98,0.98,0,0,1.96,7.85,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0.77,0,4.6,0,0,0,0,0,0,0
120,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
