stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,11,0,0,0,0,0,0,0,5,9,0,0,0,0,0
 24-34,0,0,0.82,0,0,5.75,0,0.82,0,1.64,0.82,0,0,0,0,0,0,0.82,0.82,0,0,4.1,83.73,0.82,0.82,0,0,0,0.82,0.82,2.46,14.78,0,0,0,0,0
 36-46,0,0,0,0,0,13.7,0,0,0.81,6.45,0.81,0,0,0,0,0,0,0.81,5.64,0,0,0.81,111.99,2.42,1.61,0,0,0.81,0,0.81,0,20.14,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,28.12,0,0.57,0,10.9,0,0,0,1.15,0,0.57,0,0,9.18,0,0.57,4.02,115.91,2.3,0,0,0,0,0,0.57,0,18.94,0,0,1.15,0,0
 60-70,0,0,0,1.96,0.98,65.76,0,0,0.98,6.87,0,0.98,0,0,0,0,0,0,17.67,0,0.98,0.98,366.11,0,0.98,0,0,0,0,0,0,22.58,0,0,0,0,0
 72-82,0,0,0,4.91,0.98,93.26,0.98,0,1.96,12.76,0,0,0,0.98,0.98,0,0,0.98,12.76,0,1.96,4.91,268.98,0.98,0.98,0,0,0,0,0,0,22.58,0,0,2.94,1.96,0.98
 84-94,0,0,0,4.25,1.06,65.85,0,0,0,7.43,2.12,0,0,1.06,0,0,0,0,15.93,0,0,1.06,177.36,0,0,0,0,0,0,0,0,12.74,1.06,1.06,1.06,1.06,0
 96-106,0,1.09,0,6.56,1.09,69.94,1.09,0,0,12.02,0,0,0,3.28,0,0,1.09,0,8.74,1.09,0,3.28,171.58,2.19,0,0,1.09,2.19,0,0,0,2.19,0,0,2.19,0,0
108-118,0,0.77,0,3.06,1.53,60.51,0.77,0.77,1.53,14.55,1.53,0,0.77,0,0,0.77,0,0,6.13,0,0,1.53,207.58,1.53,0.77,0,0.77,0,0,0,0,2.3,1.53,0,1.53,0.77,0.77
120,0,0,0,9.8,0,50.95,0,0,0,3.92,0,0,0,1.96,0,0,0,0,5.88,1.96,3.92,1.96,313.57,0,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96,0
