stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0.82,27.91,0,0,0,0,0.82,0,0,0,1.64,1.64,0,0,0,0,0,0,0,3.28,2.46,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,5.64,0,0,0,0,0,0.81,0,1.61,0,1.61,0,0,0,0,0.81,0.81,0,0.81,0.81,0,0,0.81,0,0,0
 48-58,0,0,0.57,0,0,2.87,0,0,0,0.57,0,0.57,2.87,0,0,0,0,0,13.2,0,5.16,0,2.87,0,0,0,0,5.16,0,0,0.57,1.72,0.57,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,4.91,0,0,1.96,0,0,1.96,1.96,0,0,0,0.98,0,154.1,0,13.74,6.87,18.65,0,0,0.98,0,11.78,1.96,0,2.94,3.93,0.98,0,19.63,0,8.83,0
 72-82,0,0,8.83,1.96,0.98,60.86,3.93,2.94,2.94,7.85,0,0,1.96,0,0.98,0,0,0,455.49,0,40.25,7.85,49.08,0,0.98,1.96,0.98,15.71,5.89,0,0.98,3.93,2.94,0.98,40.25,0.98,44.17,0.98
 84-94,0,0,7.43,0,0,67.97,2.12,0,3.19,8.5,1.06,2.12,2.12,0,0,0,1.06,0,379.15,1.06,53.1,6.37,21.24,0,0,0,0,9.56,1.06,0,0,3.19,1.06,0,40.36,4.25,49.92,0
 96-106,0,0,55.74,24.04,2.19,146.44,19.67,6.56,4.37,42.62,4.37,19.67,12.02,2.19,2.19,3.28,16.39,0,830.56,3.28,87.43,28.41,166.11,2.19,4.37,3.28,0,46.99,43.71,0,6.56,17.49,0,3.28,75.41,12.02,109.28,1.09
108-118,1.53,0.77,12.26,3.83,2.3,74.3,8.43,6.13,2.3,22.21,1.53,6.13,6.89,2.3,1.53,1.53,4.6,1.53,945.96,0.77,70.47,15.32,114.13,3.06,3.06,0.77,0,38.3,10.72,0,2.3,3.06,4.6,2.3,59.75,4.6,64.34,2.3
120,0,0,35.28,11.76,1.96,62.71,3.92,5.88,3.92,17.64,3.92,7.84,23.52,1.96,0,0,3.92,0,1134.72,0,96.03,13.72,103.87,1.96,5.88,1.96,0,54.87,5.88,1.96,0,9.8,1.96,0,88.19,3.92,133.27,1.96
