stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,68,1,0,0,0,0,2,0,1,1,37,0,2,0,0
 24-34,2.46,0,10.67,0,10.67,0,0,0,1.64,0,0,2.46,0,0.82,0,0,2.46,5.75,0,3.28,432.59,4.93,0.82,0,0,0,0,0,0,0.82,91.12,0,6.57,0,3.28
 36-46,0.81,0.81,1.61,0,15.31,0,0,1.61,9.67,0,0,2.42,0,2.42,0,0,5.64,23.36,0,2.42,1054.62,1.61,2.42,0,0,0,0,0,0,0,178.05,0,5.64,0,2.42
 48-58,0.57,2.87,1.15,0,102.14,0,0,2.3,37.3,0,2.3,1.15,0,2.87,0.57,0,2.3,38.44,1.15,3.44,1188.92,5.74,1.15,0,0.57,0.57,0,0,0,0,207.14,0,6.89,0,2.87
 60-70,0.98,2.94,1.96,0,242.44,0,0.98,0,71.65,0,0.98,0.98,0,7.85,0.98,0,1.96,59.87,0.98,4.91,1843.3,0,2.94,0.98,0,1.96,0,0,0,0,195.32,0,4.91,0,5.89
 72-82,0,3.93,1.96,0,158.05,0.98,0.98,0.98,89.33,0,1.96,7.85,0,13.74,0,0,0.98,43.19,3.93,0,877.61,1.96,2.94,1.96,0,1.96,0,0.98,0,0,60.86,1.96,16.69,2.94,2.94
 84-94,0,5.31,7.43,0,101.96,0,0,0,59.47,1.06,1.06,7.43,0,12.74,0,1.06,1.06,33.99,3.19,0,447.12,2.12,2.12,0,0,0,0,0,1.06,0,38.23,3.19,9.56,1.06,2.12
 96-106,0,2.19,7.65,0,43.71,2.19,0,0,45.9,1.09,3.28,7.65,0,7.65,1.09,1.09,1.09,26.23,2.19,0,260.1,1.09,3.28,0,0,2.19,0,0,0,0,9.84,0,15.3,1.09,2.19
108-118,0.77,0.77,3.06,0.77,45.96,0.77,0,0,33.7,0.77,0.77,12.26,0.77,8.43,0.77,0.77,1.53,13.79,0,0.77,261.19,1.53,1.53,0.77,0,0.77,0,0,0,0,4.6,0,16.09,1.53,2.3
120,0,1.96,1.96,0,35.28,0,0,0,37.24,1.96,0,5.88,1.96,3.92,0,0,0,7.84,1.96,3.92,248.89,0,0,0,0,0,0,0,0,0,7.84,3.92,1.96,0,0
