stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,3,0,0,0
 24-34,0,1.64,0.82,0,0,1.64,0,0,0,0,0,0.82,0,0,13.95,0.82,0,0,0,12.31,0,0,0,0.82,0,0,4.1,0,0,1.64
 36-46,0.81,0,0.81,0,0,4.03,0,0,0,0,0,0,1.61,0,8.86,1.61,2.42,0,0.81,18.53,0,0,0,0,0,0,3.22,0,0.81,4.83
 48-58,0,0,1.15,0,0,2.3,0,0,0,0,0,0,1.15,0,13.2,2.87,1.72,0.57,0,14.92,0.57,0,0,0,0,0,2.87,0,1.15,4.59
 60-70,0,0,1.96,0,0,5.89,0.98,0,2.94,0,0,0,16.69,0.98,13.74,14.72,3.93,0.98,0,30.43,0,0.98,0,0,0,0,2.94,0,0,15.7
 72-82,0,0,0,0.98,0,6.87,0,0,2.94,0,0,0,13.74,0,12.76,2.94,2.94,0.98,0.98,17.67,0,0.98,0,0,0,0,1.96,0,0,8.83
 84-94,0,0,1.06,1.06,0,4.25,0,0,0,0,0,0,5.31,0,5.31,6.37,2.12,0,0,13.81,0,0,0,0,0,0,0,0,0,4.25
 96-106,1.09,0,6.56,4.37,0,10.93,0,1.09,2.19,1.09,1.09,1.09,22.95,1.09,29.51,9.84,10.93,1.09,0,30.6,1.09,2.19,1.09,4.37,0,0,1.09,0,5.46,9.84
108-118,0,0,0.77,0.77,0,3.83,0,0.77,3.83,0,2.3,0,15.32,0,68.17,6.13,7.66,0.77,0,11.49,0,0.77,1.53,0,0,0,0.77,0.77,0.77,5.36
120,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,7.84,0,21.56,5.88,3.92,0,0,11.76,0,0,0,0,0,0,1.96,0,0,0
