stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,5,0,38,0,0,0,2,1,0,0,0,0,0,0,0,8,0,0,2,149,1,0,0,1,0,0,0,0,0,1,3,16,0,0,0,0,0
 24-34,0,5.75,1.64,0,283.2,0,0,0.82,12.31,0,0,0,0,0.82,0.82,0,0,7.39,0,0,4.93,1590,0.82,13.13,0.82,0,0,3.28,0,0,0,0,0.82,164.99,0,0,4.1,0,0
 36-46,0,5.64,2.42,0,791.17,0.81,0.81,0.81,33.84,0,2.42,3.22,0,2.42,0,0,0.81,53.17,0,0.81,9.67,4118.58,0.81,26.59,2.42,0,0,8.06,0,0.81,0,3.22,1.61,840.31,0,0,1.61,0,1.61
 48-58,0,15.49,8.03,0,821.11,1.15,0.57,5.16,80.33,0,0.57,3.44,1.72,2.87,1.15,0,1.72,71.73,0.57,1.72,13.77,3723.99,1.72,18.36,2.87,0,0.57,6.89,0,0,0.57,0,0,924.4,0,0,4.02,0,4.02
 60-70,0,5.89,17.67,0,713.57,0,2.94,2.94,53,0,0.98,3.93,0,1.96,0.98,0.98,0,64.78,0,1.96,4.91,3176.21,0,11.78,1.96,0,0,7.85,0,0.98,0,0,0,658.6,0,0.98,6.87,0.98,6.87
 72-82,1.96,15.71,70.68,0,420.15,0,0,0.98,53.01,1.96,0.98,4.91,0,0.98,0,0,0,64.79,0,0.98,4.91,2187.14,0,22.58,0.98,0,0,0,0,0,0,0,0,365.18,0,3.93,6.87,1.96,4.91
 84-94,0,25.49,50.98,0,387.64,2.12,1.06,1.06,70.09,3.19,0,4.25,1.06,4.25,1.06,1.06,0,60.54,0,2.12,5.31,1183.11,3.19,11.68,4.25,0,0,6.37,0,0,0,0,0,206.04,1.06,5.31,1.06,1.06,0
 96-106,0,27.32,67.76,0,277.58,1.09,2.19,2.19,41.53,1.09,0,8.74,0,0,0,3.28,0,43.71,0,4.37,0,963.89,0,18.58,3.28,0,0,10.93,1.09,0,0,0,0,86.33,0,1.09,4.37,3.28,1.09
108-118,0.77,8.43,36.77,0.77,225.96,0,1.53,2.3,26.81,2.3,0,6.13,0.77,3.06,0,1.53,0,25.28,1.53,0.77,2.3,1004.18,0,12.26,0.77,0,0,3.83,0,0,0,0,0,55.15,0.77,0.77,2.3,1.53,0
120,1.96,11.76,37.24,3.92,231.25,0,1.96,0,35.28,5.88,0,7.84,0,0,0,0,0,23.52,0,0,1.96,1048.49,3.92,21.56,5.88,0,0,7.84,0,0,0,0,0,72.51,0,0,0,0,0
