stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,83,0,0,0,1,0,0,1,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,0,0,134.62,0.82,0,7.39,0,0,0.82,0.82,0.82,41.86,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,9.67,0,0,0.81,0.81,0,0,0,0,0,0,0,0,9.67,0,0.81,0.81,264.26,0.81,0,4.83,0,0,0.81,0,0,57.2,0,0,0,0
 48-58,0,0,0,2.87,1.15,0,62.54,0,0,1.15,12.62,0,0,0,0.57,0,0.57,0,0,15.49,0,0.57,2.3,426.91,0,1.72,5.16,0.57,0,3.44,0.57,0,56.81,0,0,0,1.72
 60-70,0,0,0,0.98,0.98,0,334.7,0,0.98,0.98,5.89,0,0,0.98,0,0,0,0,0,16.69,0,0.98,0.98,323.9,0,0,4.91,0,0.98,4.91,0,0,28.46,0,0,0,1.96
 72-82,0,0.98,0,12.76,1.96,0,713.67,0,0,1.96,27.49,0.98,0,0,0,0.98,0,0.98,0,31.41,0,0.98,4.91,278.79,0.98,0,15.71,0,0,3.93,0.98,0,13.74,0.98,0,1.96,4.91
 84-94,0,0,0,21.24,3.19,0,437.56,0,5.31,5.31,30.8,4.25,1.06,0,2.12,1.06,1.06,0,0,18.05,1.06,2.12,2.12,162.49,0,0,26.55,0,0,3.19,0,0,6.37,1.06,1.06,3.19,0
 96-106,0,1.09,0,16.39,3.28,1.09,414.19,0,3.28,0,22.95,2.19,0,1.09,2.19,0,0,0,1.09,19.67,0,2.19,2.19,145.35,0,1.09,22.95,0,1.09,4.37,0,0,1.09,1.09,3.28,1.09,1.09
108-118,0,0,0.77,2.3,0.77,0.77,242.04,0,0,0.77,15.32,0.77,0,0,0.77,0.77,0,0,3.83,16.09,0.77,0.77,2.3,127.92,0,1.53,13.02,0,0,2.3,0,0,2.3,0,0,0.77,0.77
120,0,0,0,7.84,1.96,0,221.46,1.96,0,3.92,25.48,0,0,0,1.96,0,1.96,0,0,13.72,1.96,0,5.88,217.54,1.96,3.92,23.52,0,0,3.92,0,0,0,0,3.92,0,0
