stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,3,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,29.55,0,0.82,0,0,0,0,0,7.39,0,0
 36-46,0,0,0,0,3.22,0.81,0,0.81,0,0,0,0.81,0,0,61.23,1.61,0,0,0,0,0,0,12.89,0,0
 48-58,0,0,0.57,0,8.61,0,1.15,0,0,0,0,0,1.15,0.57,80.33,0,2.87,0,0,0,0.57,0,13.77,0,0
 60-70,0,0,0.98,0.98,15.7,0,1.96,0,0,0,0,0,0.98,0.98,98.15,0,1.96,0,0,0,0,0,11.78,0,0
 72-82,0,0,0,0.98,21.6,0,5.89,0,0,0,0,0,3.93,0,95.22,0,2.94,0,0,0,5.89,0,9.82,0,0.98
 84-94,0,0,0,0,12.74,0,1.06,1.06,1.06,0,1.06,0,0,0,60.54,0,0,0,0,0,7.43,0,3.19,0,0
 96-106,0,0,0,0,6.56,0,2.19,1.09,0,1.09,0,0,1.09,1.09,56.83,0,1.09,0,0,0,0,0,1.09,1.09,0
108-118,0,0.77,2.3,0,8.43,0.77,1.53,0,0,0,0,0.77,1.53,0,53.62,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,1.96,1.96,21.56,0,5.88,0,0,0,0,0,0,0,68.59,0,1.96,0,0,1.96,0,0,7.84,1.96,0
