stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,7.39,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,5.64,0.81,0,0,0,3.22,0,0
 48-58,0,0,0,0.57,0,5.16,0.57,0,2.3,0.57,6.31,0,0,0,0,2.3,0,0.57
 60-70,0,0,0,0.98,0,3.93,0.98,0,2.94,0,5.89,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,1.96,1.96,0.98,0.98,0,9.82,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,4.25,1.06,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,0,0,1.09,0,1.09,1.09,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0.77,3.83,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0
