stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,81.49,0,0,0,21.03,52.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,0,0,0,18.88,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,32,3,0,4,0,0,0,0,3,0,0,0,1,0,0,0,3,0,1,21,0,0,3,2,62,5,3,0,3,6,0,0,0,0,0
 24-34,0,0,0.82,0,18.88,0,0,5.75,0,0.82,0,0.82,0.82,0,0,0,2.46,1.64,0,0,7.39,0.82,1.64,37.76,2.46,3.28,3.28,0,49.25,0,1.64,0,1.64,8.21,0,0,0.82,0,0.82
 36-46,0,0,0,0,8.86,0.81,0,3.22,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0.81,2.42,0.81,48.34,0,4.83,1.61,0,55.59,0,0.81,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,2.87,0,0,6.89,1.72,1.15,0,4.59,0,0,0,0,1.15,2.3,0,1.15,4.59,1.72,1.15,23.53,0,2.87,0,0,27.54,0,1.15,0.57,0,4.02,0,0,0,0,0
 60-70,0,0,0,0,5.89,0,0,4.91,3.93,2.94,0,0,0,0.98,0,0,2.94,1.96,0.98,0,4.91,0.98,0.98,15.7,0.98,0.98,0.98,0,27.48,0,0,1.96,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,6.87,0,0,5.89,1.96,1.96,0.98,2.94,2.94,0,0.98,0,1.96,1.96,0,0,10.8,1.96,0,13.74,0,1.96,1.96,0,34.36,0,0,0,0,0,0.98,0,1.96,0.98,0
 84-94,0,0,1.06,0,23.36,2.12,0,2.12,0,5.31,0,4.25,4.25,0,1.06,2.12,3.19,5.31,1.06,0,3.19,2.12,0,5.31,0,2.12,1.06,0,165.68,0,1.06,3.19,0,1.06,3.19,1.06,0,0,0
 96-106,0,0,1.09,0,21.86,0,1.09,3.28,0,3.28,0,3.28,2.19,0,0,3.28,6.56,2.19,0,0,8.74,3.28,0,7.65,1.09,1.09,2.19,0,90.71,0,0,1.09,0,0,6.56,1.09,4.37,0,0
108-118,0,0,0.77,1.53,17.62,0,1.53,2.3,3.83,3.83,0,3.06,5.36,0,0,0.77,5.36,3.06,1.53,0,7.66,3.83,0.77,11.49,0,2.3,0,0,101.11,0,0.77,0.77,0,0,6.13,0,0,0,0
120,0,0,0,0,5.88,0,0,0,0,3.92,0,0,3.92,0,0,0,3.92,0,1.96,0,1.96,0,0,11.76,0,1.96,0,0,50.95,0,0,0,0,0,7.84,0,1.96,0,0
