stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,gut,hatching.gland,heart,immune,mesenchyme,mural.cell,neural,periderm,spinal.cord
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,3,0,0,0,0,0,19,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,19.7,0,0,5.75,0,0
 36-46,0,0,0,0.81,0,0,0,0,12.09,0,0,2.42,0,0
 48-58,0,0,0.57,0,0,0,0,0,10.9,0.57,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,0,0,18.65,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,21.6,1.96,0,0.98,0.98,0
 84-94,0,0,0,2.12,0,0,0,0,28.68,1.06,0,1.06,2.12,0
 96-106,0,2.19,2.19,1.09,0,1.09,0,1.09,51.36,0,1.09,2.19,3.28,0
108-118,0,0,0,1.53,0,0,0,0,24.51,0,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,19.6,0,0,0,0,0
