stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,gut,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,2.46,0,0,15.6,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0,13.7,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0.57,0.57,0,0,2.3,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0.98,1.96,0,14.72,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0.98,0,0,7.85,0,0,0.98,0,0.98,0
 84-94,0,3.19,0,2.12,0,1.06,0,2.12,0,1.06,0,0,28.68,0,0,0,1.06,1.06,0
 96-106,0,4.37,0,0,1.09,0,1.09,0,2.19,2.19,0,0,42.62,0,0,0,2.19,0,0
108-118,0,3.06,0.77,3.06,3.83,1.53,0.77,1.53,2.3,1.53,0,0,26.81,0,0,0,0.77,0,0
120,0,3.92,0,0,1.96,7.84,1.96,0,0,1.96,0,1.96,33.32,1.96,0,0,0,0,0
