stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,86.75,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,31.47,44.06,0,0,0,0,0,0,0,0,0
 14-21,0,0,9,41,1,2,0,0,0,1,1,0,0,0,2,0,0,0,0,2,3,0,0,14,0,0,0,1,495,0,2,0,4,7,0,0,1,0
 24-34,0,0,11.49,24.63,0.82,4.93,0,1.64,0,1.64,0.82,0,0,0.82,1.64,0,2.46,0,0,1.64,3.28,0,1.64,55.82,0,2.46,2.46,0,572.14,0,0,3.28,0,4.93,0,0,1.64,0.82
 36-46,0,0,0.81,11.28,0,4.83,0.81,2.42,0,0,0.81,0,0.81,0,1.61,0,2.42,0,0.81,0.81,4.83,0,1.61,24.17,0,0,0,0,473.73,0,0,3.22,0,4.03,0,0,0,0
 48-58,0,0,0,17.79,0,5.74,0,0.57,0.57,1.15,0,0,0,0,0.57,0,1.15,0,0,2.87,0.57,0,0,10.33,0.57,0,0,0,145.75,0,0,0,0,2.87,0,0,0.57,0.57
 60-70,0,0,0,40.24,0,11.78,0,3.93,0.98,2.94,0.98,0,0,0,0,0,5.89,0.98,0.98,5.89,0.98,0,0.98,31.41,0,0,0.98,0,134.47,0,0,0,0,1.96,0,0.98,0.98,0
 72-82,0,0,1.96,53.99,0,4.91,0,0,0,0.98,0,0,0,0,0.98,0,2.94,0,0.98,3.93,0.98,0,0,12.76,0,0.98,1.96,0,40.25,0,0,0,0,0,4.91,0,0,0
 84-94,0,0,0,162.49,0,4.25,0,6.37,0,4.25,4.25,0,0,0,13.81,0,9.56,1.06,0,2.12,1.06,1.06,0,5.31,0,0,1.06,0,73.28,0,0,0,0,0,21.24,0,0,0
 96-106,0,0,2.19,142.07,3.28,6.56,0,8.74,0,2.19,19.67,0,0,0,19.67,1.09,14.21,3.28,0,2.19,1.09,0,0,16.39,0,1.09,0,0,133.33,0,0,0,0,0,7.65,0,0,0
108-118,0,0,5.36,154.72,0,2.3,0,6.13,0,0,14.55,0,0,0,14.55,0,9.96,3.06,0.77,1.53,3.83,0,0.77,10.72,0,0,0,0,112.6,0,0,1.53,0,0.77,6.89,0,0.77,0.77
120,0,0,5.88,56.83,0,1.96,1.96,1.96,0,1.96,5.88,0,0,0,7.84,0,5.88,0,0,0,0,0,1.96,9.8,0,0,0,0,68.59,0,0,0,0,0,0,0,0,0
