stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,12.59,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,7,3,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,13,1,1,1,1,0,2,0,2,4,1,8,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,2.46,0,0,0,0.82,0.82,0,0,0,0,0.82,0,8.21,0,0.82,0.82,13.13,0,0.82,0.82,0,0,0.82,0,0,0,0.82,5.75,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,5.64,0,0,0,0,0,0,0,3.22,0,0,0,5.64,0,0,0.81,0,0,1.61,0.81,0,0,0,3.22,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,0,0.57,0,0.57,2.3,0,0,0,0.57,0,0,0,5.16,0,0.57,1.15,7.46,0,0.57,0,0,0,5.74,0,0,0,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,2.94,0.98,0,0.98,0,0.98,0,0,7.85,0.98,1.96,0.98,3.93,0,0,0.98,0,0,6.87,0,0,0,0,0.98,0,0,2.94,0,1.96
 72-82,0,0,0.98,0,0.98,3.93,0.98,0,0,0.98,4.91,0,0,1.96,2.94,0,0.98,0,27.49,0.98,0.98,4.91,2.94,0,0.98,0,0,0.98,1.96,0,0,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,0,0,9.56,10.62,1.06,0,2.12,2.12,4.25,0,0,0,7.43,2.12,0,0,16.99,0,2.12,3.19,2.12,0,1.06,2.12,0,1.06,21.24,0,0,1.06,0,0,3.19,0,2.12,1.06,0
 96-106,0,0,0,0,4.37,2.19,2.19,0,0,0,3.28,5.46,0,0,7.65,1.09,1.09,1.09,9.84,1.09,0,1.09,0,0,4.37,1.09,0,1.09,15.3,0,0,0,0,1.09,4.37,0,2.19,0,1.09
108-118,0,0,0,0,4.6,3.06,0.77,0,2.3,0,2.3,1.53,0,0.77,2.3,0.77,0.77,0.77,8.43,0,0.77,2.3,3.83,0.77,0.77,1.53,0,0,6.13,0,0,0.77,0,0.77,0,0,1.53,0,0
120,0,0,0,0,5.88,1.96,0,0,1.96,0,1.96,1.96,0,0,3.92,0,0,0,7.84,0,1.96,5.88,3.92,0,0,0,0,0,17.64,0,0,0,0,0,0,0,0,0,0
