stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,279,4,5,0,0,0,2,1,0,0,0,0,0,0,0,0,102,0,0,90,143,219,0,2,1,0,0,4,1,0,8,36,0,0,1,0,0
 24-34,0,0,0,4.93,279.91,2.46,19.7,0,4.1,8.21,5.75,4.1,0,2.46,0,0.82,0.82,4.1,0,0.82,395.65,0.82,0.82,160.07,163.35,223.27,0.82,7.39,0,0.82,3.28,0,0,1.64,3.28,72.24,0,0,13.95,0,1.64
 36-46,0,0,0,0,162.75,0,20.95,0,8.06,33.03,16.92,2.42,0,8.06,0,0.81,0,19.34,0,0.81,557.52,1.61,2.42,180.47,118.43,139.38,0.81,5.64,0,0,4.83,0,2.42,0,0,42.7,0,0.81,16.92,0,1.61
 48-58,0,0,0,0,96.4,0,29.26,0,5.74,44.76,22.38,0.57,0,5.74,0,0.57,1.15,8.61,0,0.57,841.77,2.3,4.02,111.32,72.3,70,0.57,2.87,0,2.3,5.16,0,0.57,1.15,0,36.15,0,4.59,16.07,0.57,0
 60-70,0,0,0,0,42.21,0,14.72,0.98,4.91,33.37,17.67,2.94,0,4.91,0.98,0,0,3.93,0.98,0,851.96,0.98,14.72,70.67,41.22,18.65,0.98,3.93,0,2.94,14.72,0,0,0.98,0,8.83,0,15.7,5.89,1.96,0
 72-82,0,0,0,0,42.21,1.96,52.03,1.96,0.98,60.86,41.23,0.98,0,4.91,4.91,0.98,0,13.74,0.98,0,1081.79,0,21.6,74.61,61.84,16.69,0,7.85,0,6.87,24.54,0.98,0,0,0,14.72,0.98,18.65,20.61,12.76,0
 84-94,1.06,0,1.06,1.06,76.47,2.12,69.03,1.06,12.74,42.48,41.42,2.12,0,4.25,3.19,0,0,5.31,0,0,893.17,1.06,20.18,60.54,36.11,21.24,1.06,8.5,0,6.37,55.23,0,2.12,0,0,18.05,0,19.12,13.81,6.37,1.06
 96-106,0,0,0,0,60.11,3.28,34.97,1.09,4.37,51.36,26.23,1.09,0,12.02,8.74,1.09,2.19,12.02,0,1.09,899.41,3.28,29.51,62.29,72.13,9.84,3.28,4.37,0,14.21,30.6,0,2.19,0,0,14.21,1.09,28.41,20.76,14.21,0
108-118,0,0,0,1.53,49.02,0.77,26.04,0,4.6,36.77,27.57,0.77,0,3.83,8.43,1.53,0,4.6,0.77,0.77,653.37,0,18.38,46.72,59.75,9.19,2.3,8.43,0,13.79,9.19,0,0.77,0,0,12.26,2.3,18.38,16.85,8.43,0
120,0,0,0,0,54.87,0,15.68,0,7.84,31.36,27.44,0,0,1.96,1.96,1.96,1.96,3.92,0,1.96,442.91,0,11.76,37.24,48.99,5.88,0,0,0,13.72,1.96,0,0,0,0,3.92,1.96,15.68,5.88,9.8,0
