stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5,28,5,0,23,0,0,0,4,2,1,1,0,0,0,0,0,1,17,0,0,13,204,4,0,2,6,0,1,0,23,0,1,27,62,0,0,0,0,0
 24-34,0.82,1.64,16.42,0,0,29.55,0.82,3.28,0.82,11.49,0,0,0,0,0.82,0,1.64,0.82,0,31.19,0,0,9.85,449.01,1.64,8.21,7.39,0,0,1.64,0,0,0,0,4.93,123.13,0,0,4.1,0,0
 36-46,0,0,2.42,0.81,0,78.96,0,1.61,0,18.53,0,0,0.81,0,0,0.81,2.42,0,1.61,41.09,0,0.81,8.86,666.29,0.81,9.67,4.83,0,0,0,0.81,0,0,4.03,0,178.05,0,0,3.22,0,0.81
 48-58,0,0.57,5.74,0,0,164.11,0.57,2.87,1.15,32.13,0.57,0.57,1.72,0.57,0,0,0.57,0.57,0,55.66,1.15,1.72,6.89,561.18,1.15,4.59,4.02,0,0.57,1.72,0,0,0.57,1.72,0,130.83,0,0.57,1.15,0,1.15
 60-70,0,0,4.91,0.98,0,349.42,0,1.96,0.98,53,0.98,0.98,0,1.96,0,0,0,1.96,0,63.8,0.98,0.98,10.8,771.48,0,3.93,3.93,0,0,2.94,0,0,0.98,0,0,127.6,0,0.98,1.96,0,0
 72-82,0.98,0,5.89,1.96,0,248.36,0,0,0.98,46.14,5.89,0,3.93,5.89,0.98,0,0.98,1.96,0,83.44,0,5.89,16.69,586.05,0,8.83,8.83,0,0.98,7.85,0,0,1.96,0,0,54.97,0.98,0.98,5.89,1.96,0.98
 84-94,0,0,20.18,1.06,0,182.67,0,1.06,4.25,42.48,5.31,1.06,1.06,8.5,1.06,2.12,1.06,0,0,67.97,0,3.19,11.68,333.48,0,4.25,6.37,0,0,13.81,0,0,3.19,0,0,36.11,0,1.06,5.31,5.31,0
 96-106,3.28,1.09,21.86,4.37,0,135.51,1.09,5.46,2.19,52.46,6.56,0,2.19,12.02,1.09,1.09,3.28,0,0,67.76,1.09,1.09,18.58,255.73,2.19,5.46,13.11,0,1.09,12.02,0,0,0,0,0,15.3,0,0,8.74,3.28,1.09
108-118,2.3,0.77,19.92,4.6,1.53,101.11,0,2.3,2.3,28.34,0.77,0,1.53,7.66,2.3,0,0.77,3.06,1.53,42.89,0.77,1.53,12.26,280.34,0.77,8.43,9.96,0,2.3,7.66,0.77,0,2.3,0,0,11.49,1.53,1.53,6.13,1.53,0
120,0,0,33.32,7.84,0,70.55,1.96,3.92,1.96,33.32,0,0,0,9.8,0,1.96,1.96,1.96,0,48.99,0,1.96,11.76,284.17,0,1.96,1.96,0,0,3.92,0,0,1.96,0,0,9.8,3.92,1.96,5.88,0,1.96
