stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,10,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,10,1,0,0,0,0,0,1,4,0,1,0
 24-34,0,0.82,0,2.46,0,0,0,0,0,0,0,0,0,3.28,0,0,3.28,13.13,0.82,0,0,0,0,3.28,0,1.64,0,0.82,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,0,0.81,0,2.42,0,0,0,11.28,0.81,0,0,0,0,0.81,0,1.61,0,0,0
 48-58,0,0.57,0,2.3,0.57,1.15,0,0,0,0,0,0,0,1.15,0.57,0.57,1.15,12.05,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,10.8,0,0.98,0,0,0,0.98,0,1.96,0.98,0,0.98
 72-82,0,0,0,7.85,0,0,3.93,0.98,0,3.93,0,0,0.98,5.89,0,0,0,10.8,0,0,0,0,0,0,0,0.98,0.98,0.98,14.72
 84-94,0,1.06,2.12,4.25,0,0,1.06,0,0,0,0,1.06,1.06,1.06,0,1.06,1.06,3.19,0,0,1.06,0,0,1.06,0,2.12,1.06,1.06,16.99
 96-106,0,1.09,1.09,4.37,0,0,3.28,0,0,8.74,1.09,0,1.09,2.19,0,0,0,8.74,0,1.09,0,0,0,2.19,0,0,3.28,0,18.58
108-118,0,0,0.77,5.36,1.53,0,1.53,0,0,11.49,0,0,2.3,5.36,0,0,0,6.13,0,0,0,0,0.77,2.3,0,0,3.83,1.53,7.66
120,0,0,1.96,1.96,0,0,3.92,0,0,15.68,0,0,1.96,1.96,0,0,1.96,5.88,0,0,0,0,0,7.84,0,1.96,0,0,23.52
